NAME,LONGITUDE,LATITUDE,CLASSIFICATION,ID
"亿达科技",115.837163,38.434954,8.000000,332.000000
"百脑汇电脑",116.104150,38.446188,8.000000,336.000000
"戴尔电脑河间戴尔电脑专卖店",116.101900,38.446894,8.000000,337.000000
"联想大史专卖店",116.214358,38.411088,8.000000,350.000000
"迅雷电脑",116.101693,38.456424,8.000000,352.000000
"方圆电脑",116.086752,38.449741,8.000000,353.000000
"同方电脑",116.100191,38.451705,8.000000,361.000000
"信诚电脑城",116.101807,38.446972,8.000000,363.000000
"新天地电脑",116.295438,38.496931,8.000000,364.000000
"创想电脑城",116.105484,38.446364,8.000000,365.000000
"河间百盛电脑",116.107234,38.440514,8.000000,367.000000
"宏达科技",116.098661,38.447155,5.000000,376.000000
"雨田科技",116.110400,38.445100,8.000000,377.000000
"河间伟东科技",116.109610,38.445199,8.000000,378.000000
"腾达电脑城(城垣中路店)",116.102589,38.446463,8.000000,338.000000
"联创电脑城",116.094147,38.448392,8.000000,342.000000
"顺达电脑",116.109920,38.445566,8.000000,343.000000
"凯锐电脑城",116.103330,38.446336,8.000000,349.000000
"鹏跃电脑",116.107598,38.450539,8.000000,354.000000
"马良电脑",116.300797,38.495822,8.000000,356.000000
"佳兴电脑",116.334827,38.398088,8.000000,360.000000
"阳光科技电脑城",116.102309,38.446506,8.000000,368.000000
"聚点电脑连锁超市",116.282326,38.433286,8.000000,369.000000
"创想科技",115.836590,38.436522,8.000000,331.000000
"亿达科技",115.837163,38.434954,8.000000,332.000000
"联想到天创电脑旗舰店",116.110449,38.445502,8.000000,335.000000
"华硕电脑",116.109703,38.455449,8.000000,339.000000
"惠普电脑",116.301168,38.495441,8.000000,346.000000
"方正电脑",116.103265,38.451196,8.000000,348.000000
"海尔润眼电脑",116.098289,38.456975,8.000000,355.000000
"可为电脑",116.105865,38.455541,8.000000,357.000000
"宏远电脑科技",116.165715,38.422255,8.000000,371.000000
"微星游戏电脑",116.099092,38.447078,8.000000,373.000000
"华方科技",116.103110,38.446371,8.000000,374.000000
"佳信电脑城",114.794479,38.708968,8.000000,380.000000
"缃慹鐢佃剳",115.498687,38.781769,8.000000,396.000000
"博诚科技",115.819080,38.499875,8.000000,333.000000
"联想沙河镇专卖店",116.329434,38.398003,8.000000,334.000000
"联想行别营专卖店",116.269557,38.396158,8.000000,340.000000
"戴尔专卖店金钻店",116.104375,38.446583,8.000000,341.000000
"河间市天创电脑",116.110550,38.445488,8.000000,344.000000
"鼎好科技",116.103420,38.446329,8.000000,345.000000
"宏基电脑",116.111768,38.445297,8.000000,347.000000
"顺佳电脑",116.110030,38.445509,8.000000,351.000000
"智力电脑",116.100191,38.451705,8.000000,358.000000
"人人电脑",116.298879,38.497418,8.000000,359.000000
"小兵电脑",115.999968,38.514698,8.000000,362.000000
"荣昌电脑城",116.334561,38.397685,8.000000,366.000000
"清华同方电脑专卖店(城垣中路店)",116.101226,38.447099,8.000000,370.000000
"春雨电脑科技",116.109191,38.445269,8.000000,372.000000
"掌上天下数码科技",116.101206,38.446696,8.000000,375.000000
"戴尔电脑口头镇专卖",114.401683,38.609101,8.000000,379.000000
"强宇电脑",114.915508,38.734093,8.000000,381.000000
"微讯电脑",115.152335,38.711573,8.000000,382.000000
"明华电脑城",115.154181,38.711474,8.000000,383.000000
"蓝屋电脑",115.156451,38.714972,8.000000,384.000000
"联创电脑店",115.166899,38.712988,8.000000,385.000000
"戴尔电脑金钻店",115.164761,38.712565,8.000000,386.000000
"联想电脑(九龙家园东)",115.158129,38.711699,8.000000,387.000000
"戴尔",115.157701,38.711728,8.000000,388.000000
"我的电脑",115.151986,38.711538,8.000000,389.000000
"军辉电脑",115.158129,38.711699,8.000000,390.000000
"飞扬电脑",115.062857,38.735380,8.000000,391.000000
"苹果电脑",115.496199,38.770208,8.000000,392.000000
"恒信电脑城",115.504742,38.770862,8.000000,393.000000
"电脑超市",115.501855,38.770447,8.000000,394.000000
