user_id,income,entermament,baby,gender,shopping,shop_id,classification,userlongitude,userlatitude,shoplongitude,shoplatitude,arrival_time,duration,longDif,latDif,sumDif
4477,2,2,0,1,5,4861,6,115.4586,38.89151,115.475328,38.892115,20140820134405,32,0.01672800000000052,6.050000000001887E-4,0.01733300000000071
4477,2,2,0,1,5,7946,5,115.44465,38.89137,115.45475,38.891504,20140820105014,36,0.010100000000008436,1.339999999956376E-4,0.010234000000004073
3014,2,1,1,2,7,9151,1,115.46073,38.845634,115.461327,38.853202,20140819101355,25,5.969999999990705E-4,0.007568000000006236,0.008165000000005307
3014,2,1,1,2,7,9050,1,115.46468,38.93294,115.473793,38.936071,20140823162856,36,0.00911299999999926,0.00313099999999622,0.01224399999999548
3014,2,1,1,2,7,4877,6,115.4922,38.85831,115.497417,38.864581,20140823110724,29,0.0052170000000018035,0.006270999999998139,0.011487999999999943
3014,2,1,1,2,7,9043,1,115.47629,38.80575,115.491241,38.849079,20140823104346,32,0.014950999999996384,0.04332899999999995,0.058279999999996335
3014,2,1,1,2,7,9256,1,115.46627,38.81234,115.469172,38.830446,20140820114633,36,0.0029020000000059554,0.018106000000003064,0.02100800000000902
9431,2,1,1,2,7,10509,1,115.32871,38.90971,115.958476,38.951372,20140823155130,36,0.6297660000000036,0.04166200000000231,0.6714280000000059
9431,2,1,1,2,7,9119,1,115.45636,38.85855,115.458532,38.859672,20140820163131,29,0.002172000000001617,0.0011220000000022878,0.003294000000003905
1947,2,1,1,2,2,9027,1,115.491776,38.84693,115.505559,38.848285,20140824100858,36,0.013783000000003653,0.0013549999999966644,0.015138000000000318
1947,2,1,1,2,2,9027,1,115.49194,38.837776,115.505559,38.848285,20140821101558,29,0.013619000000005599,0.010508999999998991,0.02412800000000459
9935,3,1,0,1,6,1909,6,115.48536,38.77811,115.497152,38.779097,20140821143039,36,0.011791999999999803,9.870000000020696E-4,0.012779000000001872
9935,3,1,0,1,6,9266,1,115.5238,38.87071,115.547582,38.877875,20140820182535,29,0.023782000000011294,0.007165000000000532,0.030947000000011826
9935,3,1,0,1,6,4917,6,115.492546,38.86787,115.49485,38.868577,20140820173804,32,0.0023039999999951988,7.069999999984589E-4,0.0030109999999936576
9935,3,1,0,1,6,9687,1,115.4788,38.768784,115.490459,38.770911,20140819185612,36,0.011658999999994535,0.0021270000000015443,0.01378599999999608
4320,2,1,1,2,7,1024,6,115.33517,38.42466,115.335625,38.427025,20140824162827,36,4.549999999881038E-4,0.002364999999997508,0.002819999999985612
4320,2,1,1,2,7,8860,1,115.3266,38.4235,115.335131,38.424071,20140823112919,29,0.008531000000004951,5.710000000007653E-4,0.009102000000005717
4320,2,1,1,2,7,8860,1,115.32799,38.40318,115.335131,38.424071,20140822170323,32,0.007141000000004283,0.020890999999998883,0.028032000000003165
