ARRIVAL_TIME,USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING,user_lon,user_lati,DURATION,SHOPID,shop_lon,shop_lati,class,train
20140812100022,8862,1,2,0,1,5,115.592690,39.102400,23,11425,115.748695,39.180058,1,"1"
20140812100023,4436,2,6,0,1,5,115.451960,38.764847,36,9011,115.460268,38.833587,1,"1"
20140812100046,1690,2,1,1,2,7,115.475000,38.764250,34,1887,115.479272,38.784315,6,"1"
20140812100047,5393,3,3,0,1,9,115.988075,39.561443,33,6660,116.006383,39.572052,6,"1"
20140812100058,1659,2,2,0,1,5,115.454170,38.881390,34,7950,115.500623,38.887720,8,"1"
20140812100100,6570,1,2,1,1,5,115.166290,38.809270,24,10444,115.224911,38.826560,1,"1"
20140812100114,781,3,3,0,1,9,115.718180,38.591020,30,3497,115.731475,38.688940,6,"1"
20140812100124,7449,2,6,0,1,5,115.476230,38.817330,23,5028,115.484784,38.821873,6,"1"
20140812100127,3277,2,1,1,1,6,115.547780,38.912030,37,26,115.573532,38.956745,8,"1"
20140812100128,4619,2,1,0,1,5,114.969160,38.523945,33,385,115.166899,38.712988,8,"1"
20140812100138,968,2,1,1,2,7,114.978570,38.731080,34,3053,114.987633,38.741720,6,"1"
20140812100140,2587,2,1,1,2,2,115.372010,39.032400,33,10495,115.390304,39.036703,1,"1"
20140812100150,7584,2,1,1,2,7,115.483960,38.881090,30,9230,115.486309,38.888267,1,"1"
20140812100154,7333,1,2,1,1,5,115.483490,38.889053,34,9194,115.483595,38.889103,1,"1"
20140812100206,2557,2,1,1,2,7,115.374590,39.209366,36,4637,115.412423,39.227726,6,"1"
20140812100208,2150,2,1,1,2,2,115.418160,39.363945,24,11282,115.450481,39.372605,1,"1"
20140812100216,6572,2,1,1,2,7,115.758010,38.674010,34,3416,115.782094,38.680758,6,"1"
20140812100230,405,3,3,0,1,9,115.984170,39.481945,36,7149,116.001980,39.482927,6,"1"
20140812100237,2621,2,1,1,2,7,115.931500,38.916850,34,10554,115.932659,38.921742,1,"1"
20140812100240,1752,2,6,0,1,5,115.369310,38.878940,32,7310,115.441688,38.887165,8,"1"
20140812100241,5044,2,6,0,1,5,115.353060,38.806946,23,18,115.368972,38.814149,8,"1"
20140812100253,6489,2,6,0,1,5,116.023160,39.129814,32,11574,116.037101,39.130748,1,"1"
20140812100254,8636,2,1,1,2,7,116.097370,38.977340,30,5544,116.101496,38.987629,6,"1"
20140812100317,9696,2,2,0,1,5,116.026390,39.483890,36,7155,116.038544,39.489471,6,"1"
20140812100318,186,2,4,0,1,6,115.453850,38.823220,35,9011,115.460268,38.833587,1,"1"
20140812100322,3725,3,3,0,1,9,115.452980,38.874058,36,3790,115.488512,38.889025,6,"1"
20140812100325,6645,2,1,1,2,7,115.918800,38.932800,24,5175,115.924036,38.933573,6,"1"
20140812100336,2415,1,2,1,1,5,115.643810,39.014640,32,11425,115.748695,39.180058,1,"1"
20140812100339,3566,2,1,1,2,7,115.857990,38.887340,23,5208,115.929982,38.897752,6,"1"
20140812100409,8777,2,6,0,1,5,115.474160,38.881943,34,4987,115.475502,38.883085,6,"1"
20140812100421,1362,2,1,1,2,2,114.964010,38.747700,22,9467,114.973772,38.750887,1,"1"
20140812100427,2632,2,1,1,2,2,115.359540,38.335190,24,8887,115.462715,38.345952,1,"1"
20140812100436,6062,3,3,0,1,9,114.817894,38.654434,33,3118,114.986790,38.762753,6,"1"
20140812100444,4205,2,1,1,2,7,114.467700,39.097900,34,5606,114.610605,39.135058,6,"1"
20140812100445,4424,2,1,1,2,7,115.253640,38.885730,26,10402,115.258256,38.899395,1,"1"
20140812100514,4976,2,1,1,2,2,115.914380,39.400143,33,11934,116.025585,39.496132,1,"1"
20140812100525,6967,2,1,1,2,2,115.644100,39.004900,36,9332,115.649561,39.015654,1,"1"
20140812100532,6249,1,2,1,2,4,115.484400,38.861150,33,4998,115.485254,38.862158,6,"1"
20140812100534,2635,2,6,0,1,5,115.501240,38.837810,36,7350,115.504410,38.839798,8,"1"
20140812100538,401,2,3,1,2,8,115.151085,38.707417,37,9553,115.158168,38.713931,3,"1"
20140812100540,5830,2,1,0,1,5,115.330640,38.963790,32,3,115.331693,38.963892,8,"1"
20140812100549,5971,2,1,1,2,2,115.418160,39.363945,34,11282,115.450481,39.372605,1,"1"
20140812100610,3771,2,1,0,1,5,115.468010,38.653280,30,7982,115.513201,38.824719,8,"1"
20140812100610,3949,2,2,0,1,5,116.009990,39.489360,36,181,116.019704,39.490626,8,"1"
20140812100613,1024,2,1,1,2,7,115.444500,38.818810,24,648,115.453042,38.835161,1,"1"
20140812100639,4387,2,1,1,2,7,115.904000,39.388800,30,7068,116.009571,39.482704,6,"1"
20140812100656,9210,2,1,1,2,7,115.749000,39.195600,36,5933,115.763953,39.215050,6,"1"
20140812100704,5557,2,1,1,2,7,115.144400,38.706100,34,9599,115.144917,38.708131,1,"1"
20140812100709,3147,3,3,0,1,9,114.777220,38.701940,30,3073,114.810693,38.712650,6,"1"
20140812100729,5498,2,1,1,2,2,115.474800,38.860725,34,9060,115.475235,38.863486,1,"1"
20140812100729,7742,2,6,0,1,5,114.997200,38.564340,36,1765,115.204232,38.709686,6,"1"
20140812100737,7068,2,2,0,2,4,115.489420,38.862667,23,3781,115.512813,38.863486,6,"1"
20140812100740,6745,2,1,1,2,7,115.449190,38.869780,17,9051,115.452976,38.891483,1,"1"
20140812100818,1297,2,1,1,2,7,115.962870,39.483630,36,6662,116.008888,39.488851,6,"1"
20140812100827,4744,3,3,0,1,9,115.477790,38.862610,19,3783,115.487916,38.876071,6,"1"
20140812100854,3098,2,1,1,2,7,115.507240,38.851050,23,9140,115.509512,38.859812,1,"1"
20140812100900,4955,2,4,0,1,6,115.541916,38.834656,36,7935,115.545589,38.848510,8,"1"
20140812100901,3358,1,2,1,1,5,116.093180,38.987774,33,7399,116.103390,38.988000,8,"1"
20140812100913,1846,2,1,1,2,7,115.326600,38.423500,30,1019,115.327492,38.428806,6,"1"
20140812100943,4782,2,1,1,2,7,115.474800,38.860725,34,9290,115.476894,38.863303,1,"1"
20140812101004,867,2,1,1,2,7,115.507250,38.851040,24,9047,115.507518,38.852788,1,"1"
20140812101008,6869,2,1,1,2,7,114.991450,38.495700,36,782,114.998523,38.496211,6,"1"
20140812101013,6467,2,6,0,1,5,115.504420,38.864796,32,3830,115.510814,38.875354,6,"1"
20140812101025,3845,2,2,0,1,5,114.988220,38.733630,30,7722,114.988431,38.754045,8,"1"
20140812101030,7749,3,3,0,1,9,115.774700,38.680200,34,3416,115.782094,38.680758,6,"1"
20140812101033,7212,3,3,0,1,9,115.431630,38.833170,30,9151,115.461327,38.853202,1,"1"
20140812101034,3190,2,1,1,2,7,116.015430,39.133500,34,6296,116.052640,39.138493,6,"1"
20140812101053,5818,2,1,1,2,7,116.028060,39.482310,27,7155,116.038544,39.489471,6,"1"
20140812101104,7717,2,1,0,1,5,115.794520,39.249430,37,7483,115.800925,39.272247,8,"1"
20140812101113,1072,3,3,0,1,9,115.126100,38.851090,30,4306,115.130880,38.855513,6,"1"
20140812101140,3209,2,1,1,2,7,115.483055,38.865276,23,3789,115.489085,38.865558,6,"1"
20140812101147,4951,2,6,0,1,5,115.746210,38.681170,30,3452,115.767919,38.685117,6,"1"
20140812101159,5797,2,1,1,2,2,115.320560,38.416110,23,8066,115.325939,38.422220,1,"1"
20140812101202,3994,2,1,1,2,7,116.114640,38.995674,30,5303,116.145182,38.995782,6,"1"
20140812101225,9922,2,1,1,2,7,114.972040,38.745380,30,9467,114.973772,38.750887,1,"1"
20140812101302,4709,2,6,0,1,5,115.549840,38.608250,32,9646,115.566510,38.679885,1,"1"
20140812101359,5852,2,1,1,2,2,114.942010,38.741210,30,9450,114.966523,38.743429,1,"1"
20140812101404,514,2,2,0,1,5,116.026390,39.483890,22,7095,116.033878,39.488942,6,"1"
20140812101407,1334,2,6,0,1,5,115.362220,38.671110,33,1980,115.380507,38.682117,6,"1"
20140812101410,4837,2,1,1,2,7,115.474340,38.890070,33,4925,115.475418,38.890542,6,"1"
20140812101420,9588,3,3,0,1,9,114.798670,38.609120,30,3090,114.833430,38.716105,6,"1"
20140812101429,5034,2,6,0,1,5,115.581850,38.966420,36,11402,115.772874,39.222653,1,"1"
20140812101432,7947,2,1,0,1,5,115.656944,39.026390,23,7942,115.662431,39.027490,8,"1"
20140812101436,4668,3,3,0,1,9,115.964190,39.170300,30,6312,116.015654,39.174730,6,"1"
20140812101438,453,2,1,1,2,7,114.695300,39.352500,32,10843,114.696921,39.359935,1,"1"
20140812101502,2964,2,1,1,2,2,116.000080,39.041680,26,10746,116.050349,39.072902,1,"1"
20140812101508,1789,2,1,1,2,2,116.041115,39.322500,30,11603,116.041462,39.325685,1,"1"
20140812101528,6400,3,5,0,1,8,115.449100,38.826790,37,664,115.474703,38.851994,9,"1"
20140812101537,8021,2,1,1,2,7,115.478800,38.768784,31,1930,115.485420,38.770658,6,"1"
20140812101621,4665,2,3,1,2,8,115.463010,38.891567,37,4861,115.475328,38.892115,6,"1"
20140812101622,5367,2,1,1,2,7,116.014850,39.483166,23,11892,116.015494,39.483206,1,"1"
20140812101651,7423,2,6,0,1,5,115.338510,39.317850,32,11251,115.351544,39.346781,1,"1"
20140812101656,7843,1,2,1,2,4,115.784035,38.682990,30,9900,115.786134,38.695227,3,"1"
