USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING
530,01,01,1,02,01
7960,02,01,1,02,07
5554,03,03,0,01,09
4434,02,01,1,02,07
8650,03,03,0,01,09
9195,02,01,1,02,07
7281,03,01,0,01,06
193,01,02,1,01,05
2202,02,01,1,02,07
9502,02,04,0,01,09
8099,02,02,0,01,05
8178,02,06,0,01,05
1319,02,01,1,02,07
8154,02,06,0,01,05
2395,02,01,1,02,07
5364,02,01,1,02,07
7248,02,01,1,02,07
4269,02,06,0,01,05
7403,03,01,1,02,07
8974,02,01,1,02,07
1866,02,04,0,01,06
447,03,03,0,01,09
5185,02,02,0,01,05
4728,01,02,1,01,05
385,02,01,1,02,02
4786,02,01,1,02,07
1954,02,01,1,02,07
3671,02,01,1,02,07
4288,03,03,0,01,09
3985,02,01,1,02,02
1434,02,06,0,01,05
6026,02,04,0,01,07
805,03,03,0,01,09
4210,03,03,0,01,09
8554,02,01,1,02,07
3801,01,02,1,01,05
2856,02,06,0,01,05
2349,01,06,0,01,01
6444,02,01,0,01,05
9269,02,01,1,02,07
5292,02,06,0,01,05
6284,01,02,1,01,05
266,02,01,1,02,07
4909,02,01,1,02,02
1855,03,03,0,01,09
1382,02,02,0,01,05
5722,03,03,0,01,09
1895,03,03,0,01,09
4895,01,02,1,01,05
98,02,03,1,02,08
9492,02,01,1,02,07
1443,02,06,0,01,05
367,02,01,1,02,02
9013,02,01,1,02,07
2078,03,03,0,01,09
7503,02,01,0,01,05
8205,02,01,1,02,07
8994,03,03,0,01,09
597,02,06,0,01,05
9751,03,05,0,01,08
5508,03,03,0,01,09
3508,02,01,1,02,07
3496,02,07,0,02,08
624,03,01,0,01,05
1318,03,03,0,01,09
3213,02,01,1,02,07
1661,02,06,0,01,05
9687,02,01,1,02,07
8678,03,01,0,01,05
9863,02,01,1,02,07
249,02,01,1,02,07
7478,03,03,0,01,04
2622,02,02,0,01,05
3006,02,02,0,01,05
3069,02,01,1,02,07
4032,03,03,0,01,09
7028,02,01,1,02,07
2301,02,01,1,02,02
1174,02,02,0,01,05
1050,01,04,0,01,05
6235,02,01,1,02,02
5001,01,04,0,01,05
