USERID,SHOPID,ARRIVAL_TIME
4477,4861,20140820134405
4477,7946,20140820105014
3014,9151,20140819101355
3014,9050,20140823162856
3014,4877,20140823110724
3014,9043,20140823104346
3014,9256,20140820114633
9431,10509,20140823155130
9431,9119,20140820163131
1947,9027,20140824100858
1947,9027,20140821101558
9935,1909,20140821143039
9935,9266,20140820182535
9935,4917,20140820173804
9935,9687,20140819185612
4320,1024,20140824162827
4320,8860,20140823112919
4320,8860,20140822170323
4320,8860,20140822112217
4424,10402,20140812100445
4424,10471,20140822161820
4424,10402,20140822135433
4424,1191,20140820175554
4424,10402,20140819133641
6810,8775,20140823151814
6810,8775,20140822160157
6810,8775,20140821115621
2046,549,20140819111232
2046,655,20140815134929
2046,655,20140813112627
2046,9124,20140812122624
4283,9180,20140818100155
4283,9180,20140822132731
3030,5025,20140820112451
3030,8986,20140821112945
8277,5038,20140824140416
8277,7273,20140823172204
8277,9060,20140823143549
8277,9060,20140822155754
6947,3127,20140812103633
6947,3127,20140824135659
6947,3127,20140823100357
6947,7722,20140818101955
3364,8840,20140812160137
3364,8840,20140824102936
3364,8840,20140815193734
3364,8840,20140814112028
7484,4883,20140824165011
7484,4883,20140823194713
7484,10501,20140822133503
7484,4883,20140822105900
4675,3826,20140824121255
4675,3882,20140816161052
4675,3827,20140816115557
6469,9096,20140812115049
6469,3856,20140824153458
6469,5002,20140823142255
6469,7315,20140823134040
6469,7327,20140822164647
6447,3834,20140824114911
6447,9312,20140822154339
6447,533,20140822104347
6447,7902,20140818172732
9289,3180,20140816155913
4332,9293,20140824182703
4332,9280,20140824161316
4332,9280,20140824125030
4332,9280,20140824115251
4323,9303,20140824103051
4323,7319,20140823143922
4323,4838,20140822153806
4323,9060,20140821164552
5296,9337,20140822155600
5296,664,20140821190350
5296,9225,20140821152210
5296,9043,20140819133811
8987,553,20140813174311
8987,4876,20140824160728
8987,9277,20140824154409
8987,3882,20140823152303
8987,553,20140823112300
2263,6570,20140823171815
2263,6570,20140824173311
9867,11219,20140816114836
9867,7524,20140824160020
9867,11825,20140824135258
9867,7524,20140823123044
9867,11825,20140821143213
1673,3527,20140812112753
1673,5098,20140820135330
1673,9872,20140820125328
1673,9845,20140820103819
2096,4921,20140824103956
2096,9072,20140822111307
2096,9155,20140821163017
2096,9155,20140821102318
2446,1019,20140812150746
2446,8888,20140816184731
2446,2114,20140816122545
3401,3773,20140824113322
3401,3802,20140823171003
3401,3773,20140823112151
3401,8004,20140822110833
8201,26,20140812132301
8201,9255,20140824103036
8201,9255,20140822161651
8201,26,20140820192342
8201,26,20140820184334
1560,4837,20140812115211
1560,9059,20140823125844
1560,9086,20140818121334
1560,7985,20140816105241
7199,9067,20140821101847
7199,9096,20140820162935
7199,4834,20140820120909
7199,3821,20140819185513
6775,7913,20140820184114
6775,4940,20140820140222
6775,664,20140820114534
6996,3771,20140823105231
6996,648,20140823122224
1183,4947,20140813100809
1183,7987,20140816183057
1900,1910,20140812154127
1900,3795,20140820152856
1900,9652,20140819102235
8114,5255,20140813100603
8114,5175,20140820155010
8114,10610,20140820104709
8114,5257,20140818164517
8114,5248,20140815192557
7688,5486,20140824181650
2870,5038,20140823173355
2870,3785,20140822174114
2870,3788,20140820120824
2870,3785,20140818171831
845,1147,20140821142028
1214,7946,20140824164758
1214,3826,20140824111058
1214,9020,20140824101535
1214,9147,20140823104226
6061,3293,20140815122918
6061,3295,20140816104413
6061,9646,20140815135756
9229,5417,20140812185741
9229,10720,20140823163551
9229,5417,20140821110731
9229,5331,20140820183355
9229,10657,20140820162747
7529,5099,20140814105343
7529,5010,20140822143505
7529,9114,20140820165152
7529,3842,20140819154127
7529,9165,20140819110126
5465,7387,20140816171821
1221,3773,20140814162706
1221,5517,20140822164138
1221,5486,20140822154428
1221,5982,20140816170034
5717,11574,20140815182714
5717,6270,20140814175731
4870,7941,20140814152828
4870,9337,20140824115552
4870,9068,20140820174106
4870,7350,20140819165830
856,9913,20140813151921
856,9922,20140824151938
856,3422,20140823151634
856,9,20140816110127
2917,5034,20140820160650
2917,7920,20140820130231
2917,9291,20140818140353
2917,9259,20140818102059
1850,10974,20140814103937
1850,9116,20140824153710
1850,9027,20140824133923
1850,5042,20140823101200
1850,4940,20140822161107
7426,10484,20140822142002
7426,10484,20140821132923
7426,10484,20140819114651
7426,10484,20140818152212
5656,3118,20140814164510
5656,3028,20140824194148
5656,7722,20140823161602
5656,9467,20140820103630
5656,7923,20140818165442
288,545,20140824163522
288,10501,20140822104629
288,10491,20140821183254
288,9333,20140821150742
8979,9011,20140814131519
8979,7897,20140823110424
8979,7307,20140822152514
8979,664,20140815103735
8920,9875,20140815124519
8920,9875,20140824144009
8920,9901,20140823122244
8920,3405,20140822103141
8920,3405,20140821182550
842,6140,20140818133554
842,6140,20140816155733
7438,5560,20140813100345
7438,5278,20140818170548
7438,10759,20140818113816
7438,6472,20140816160217
7723,10488,20140813185908
7032,9271,20140822140654
7527,11748,20140815154625
7527,3785,20140822110500
8871,10595,20140824124541
8871,10634,20140823174626
8871,10634,20140820142944
8871,10595,20140820113924
381,7418,20140824152612
381,5654,20140823103530
381,5654,20140822121132
381,5602,20140822110222
9420,9328,20140824145531
9420,9328,20140824124935
9420,9328,20140823185910
9420,9328,20140818104427
1498,7913,20140824174023
1498,3836,20140820141452
1498,3826,20140819131126
1498,9164,20140818142035
8196,9279,20140821180704
126,1790,20140824103202
126,10576,20140816165057
126,10580,20140816114342
9861,7935,20140813172930
9861,9082,20140816135807
8279,11948,20140812163511
8279,7155,20140812181943
2584,10484,20140824154745
2584,553,20140824144915
2584,9267,20140823133359
2584,9267,20140822131049
1710,9042,20140812114039
1710,3836,20140824150621
1710,7969,20140822104209
1710,5017,20140821171237
1710,7969,20140820184751
8398,9153,20140823134036
8398,9194,20140822122457
8398,9235,20140821115732
8398,4983,20140820145804
9226,11764,20140812150555
9226,11640,20140822172849
9226,11640,20140821110229
9226,6270,20140819104003
649,4925,20140824102239
649,9450,20140823182148
649,4869,20140822112303
649,7893,20140822103055
6622,9291,20140818120336
6622,9241,20140818111510
6136,782,20140821150557
6136,8697,20140818150132
6136,8697,20140814155036
6136,8697,20140814110355
5900,7273,20140814135615
6949,545,20140824114348
6949,9006,20140824102730
6949,4978,20140823181722
6949,4978,20140823135122
8509,9553,20140814104524
8509,9596,20140824150552
8509,1744,20140823175408
8509,9553,20140822180325
8509,9553,20140822121339
4192,5417,20140823102646
4192,5331,20140816192938
4192,5417,20140814121517
4192,5417,20140812191536
7534,7342,20140823153041
7534,7984,20140823142236
7534,1796,20140823122058
7534,4437,20140822172151
3475,10862,20140815183126
3475,10874,20140823193822
3475,7418,20140822113651
2270,7404,20140824100839
2270,5417,20140816155332
2270,10746,20140815150730
5862,5103,20140812111754
5021,7510,20140812153435
5021,11512,20140824161651
5021,6270,20140821130603
5021,6472,20140820163510
5021,11512,20140819160458
5506,4833,20140813101154
5506,1881,20140824123621
5506,9067,20140823113813
5506,9203,20140821113313
5506,9203,20140821103054
4575,3053,20140814101016
4575,3053,20140815114851
6784,8723,20140822141208
977,8066,20140822142012
977,8066,20140822105754
977,8066,20140820175531
977,8972,20140820130629
8995,9333,20140824110747
8995,9333,20140823131716
8995,553,20140819165334
8995,9020,20140819111559
1561,11640,20140824192902
1561,6270,20140824113618
1561,6472,20140818100156
1561,11536,20140816122652
8135,8838,20140814101808
8135,8838,20140818120609
8135,8838,20140816114505
8135,8838,20140814184116
6438,9124,20140812120449
6438,9124,20140824184232
6438,9124,20140824150020
6438,9124,20140824145417
6438,9124,20140823171419
6262,7310,20140814103128
6262,4909,20140822104339
6262,9200,20140821145828
6262,3815,20140821104831
6262,553,20140819144043
2376,7350,20140824174610
2376,7350,20140824164735
2376,7364,20140824120441
2376,10494,20140823101200
2042,9226,20140815142721
2042,10494,20140824102048
2042,7982,20140822110432
2042,7360,20140820165332
2042,3773,20140820111916
4681,3127,20140823153837
4681,3028,20140822102715
4681,7722,20140821181011
4681,7722,20140819150622
2887,7942,20140821152248
2887,9072,20140819120347
9738,11512,20140813174252
9738,6133,20140823121913
9738,7510,20140816143521
9738,6296,20140814154613
6933,3880,20140819190640
6933,3826,20140819133625
6933,9126,20140818101247
6933,4869,20140815151312
