Group.1,Group.2,Group.3,Group.4,Group.5,class,num
2,1,1,2,7,6,3852
2,1,1,2,7,1,3467
3,3,0,1,9,6,2871
2,1,1,2,2,1,2079
2,6,0,1,5,6,1185
2,6,0,1,5,1,1151
2,6,0,1,5,8,914
1,2,1,1,5,1,878
2,2,0,1,5,6,806
1,2,1,1,5,8,651
2,2,0,1,5,8,489
2,1,0,1,5,8,404
3,1,0,1,6,1,140
2,3,1,2,8,6,137
2,3,1,2,8,1,132
3,1,0,1,6,6,131
1,2,1,2,4,6,118
3,3,0,1,9,1,112
2,7,0,2,8,1,102
1,2,0,1,5,1,98
2,3,1,2,8,3,93
2,4,0,1,6,1,90
2,7,0,2,8,6,88
3,1,0,1,6,9,82
1,1,1,2,1,3,82
1,2,0,1,5,3,75
1,2,1,2,4,3,71
3,3,0,1,9,9,70
2,4,0,1,6,8,70
2,4,0,1,6,9,68
2,7,0,2,8,5,58
3,5,0,1,8,6,57
2,6,0,1,6,1,56
2,1,0,1,5,1,52
2,4,0,1,6,6,46
2,2,0,1,5,5,39
2,1,0,1,5,3,38
3,1,0,1,5,1,37
2,2,0,2,4,6,35
2,6,0,1,6,5,33
1,2,0,1,6,6,33
1,2,0,1,6,1,30
3,5,0,1,8,9,29
3,1,0,1,5,8,29
2,5,0,1,5,6,28
1,2,0,1,6,8,27
2,1,1,1,6,8,26
3,1,0,1,5,5,25
2,2,0,2,4,8,25
3,3,0,1,9,10,24
2,2,0,1,6,6,22
2,2,0,2,4,3,21
2,2,0,1,5,1,21
1,2,0,1,6,3,21
2,1,1,1,6,3,20
2,2,1,2,8,6,18
2,2,1,2,8,1,18
2,2,1,2,2,1,18
2,5,0,1,5,8,17
2,2,0,1,6,9,16
1,4,1,2,7,6,16
2,1,1,2,7,10,15
2,5,0,1,5,5,13
2,5,0,1,6,8,12
2,7,0,1,5,5,11
2,4,0,2,2,6,11
2,2,1,2,8,2,11
2,2,0,1,6,8,11
2,2,1,2,2,4,10
1,2,1,2,7,8,10
1,2,1,2,7,6,10
2,4,0,2,5,8,9
2,4,0,2,5,5,9
2,5,0,1,6,9,8
2,4,0,2,2,4,8
2,2,0,2,1,6,8
2,2,0,2,1,4,7
1,4,1,2,7,2,6
1,2,1,2,7,2,6
1,2,0,1,4,6,6
3,3,0,3,2,10,5
2,5,0,1,5,1,5
2,3,1,2,8,9,5
3,1,1,2,7,1,4
2,2,0,2,1,1,4
2,1,0,2,2,6,4
2,1,0,1,6,5,4
2,1,0,1,6,3,4
1,1,0,2,2,6,4
1,1,0,2,2,1,4
3,1,1,2,7,8,3
2,1,0,2,2,1,3
1,2,1,2,8,1,3
1,2,1,2,4,10,3
1,2,1,2,4,9,3
1,2,0,1,5,9,3
3,1,1,2,7,2,2
3,1,0,1,5,9,2
2,6,0,1,6,8,2
2,6,0,1,6,7,2
2,6,0,1,6,6,2
2,5,0,1,5,7,2
2,2,0,2,4,9,2
2,1,1,2,2,10,2
2,1,0,2,2,7,2
2,1,0,2,2,4,2
2,1,0,1,6,6,2
1,2,1,2,8,2,2
1,2,1,2,7,1,2
1,2,1,1,5,10,2
1,1,0,2,2,8,2
1,1,0,2,2,4,2
2,7,0,2,8,9,1
2,6,0,1,6,9,1
2,5,0,1,5,9,1
2,4,0,2,2,9,1
2,3,1,2,8,10,1
2,3,1,2,8,5,1
2,2,1,2,8,3,1
2,2,1,2,2,10,1
2,2,0,2,4,5,1
2,2,0,1,5,10,1
2,2,0,1,5,9,1
2,2,0,1,5,7,1
2,1,0,1,5,9,1
2,1,0,1,5,5,1
1,4,0,2,4,7,1
1,2,0,1,6,5,1
1,2,0,1,5,5,1
1,2,0,1,4,7,1
1,1,1,2,7,2,1
