"","userid","arrTime","shopid","test_pro"
"1",6374,20140811170715,9627,0.999994277954102
"2",1925,20140811123127,8840,0.999991059303284
"3",3334,20140811150117,11751,0.999987125396729
"4",3179,20140811192600,3763,0.999983787536621
"5",5241,20140811110335,7356,0.999983549118042
"6",4715,20140811131127,5099,0.999979615211487
"7",2717,20140811111831,9646,0.999976515769958
"8",3432,20140817131310,9922,0.999972343444824
"9",2553,20140817145116,8886,0.999964118003845
"10",2553,20140817104938,8886,0.999962210655212
"11",3314,20140811170614,1980,0.999956011772156
"12",5160,20140811115853,6536,0.999953508377075
"13",3432,20140817192235,9922,0.999953389167786
"14",1535,20140811145146,3536,0.99994683265686
"15",4816,20140811112854,7315,0.999943017959595
"16",2577,20140811112601,9467,0.999940037727356
"17",7532,20140811112400,10382,0.999938130378723
"18",1204,20140817174717,4416,0.999935626983643
"19",4314,20140817145505,7786,0.999926447868347
"20",3596,20140817115208,5099,0.99992299079895
"21",512,20140817164912,11825,0.999921798706055
"22",3091,20140817143914,8697,0.999920010566711
"23",8566,20140811163728,8731,0.999917268753052
"24",9518,20140811144141,4883,0.999916911125183
"25",1741,20140811124612,9824,0.999915599822998
"26",1013,20140811120414,10382,0.999914526939392
"27",1820,20140817105950,181,0.999913573265076
"28",9223,20140811181333,9271,0.999912619590759
"29",5419,20140811133432,11894,0.999906659126282
"30",3533,20140811101805,7483,0.999903082847595
"31",7477,20140811110326,8715,0.999898910522461
"32",512,20140817181419,11825,0.999895811080933
"33",9152,20140811170558,3571,0.999890089035034
"34",301,20140817175607,9143,0.999886393547058
"35",164,20140817122531,9900,0.999877572059631
"36",6673,20140811184116,9553,0.999867558479309
"37",5974,20140817163003,9872,0.999864459037781
"38",4061,20140811182950,9147,0.999860167503357
"39",2587,20140811160749,10495,0.999853134155273
"40",6156,20140811102248,4940,0.999852895736694
"41",1925,20140817141415,8840,0.999848961830139
"42",1951,20140811150943,9175,0.999848365783691
"43",2981,20140811154003,11308,0.999847173690796
"44",6849,20140811190844,9333,0.999838352203369
"45",7930,20140817171043,11545,0.999838352203369
"46",2237,20140811161800,5486,0.999831199645996
"47",9917,20140811163728,9604,0.999829053878784
"48",7930,20140811132048,11545,0.99981278181076
"49",4061,20140817114810,9147,0.999800503253937
"50",985,20140811120253,915,0.999773323535919
"51",5974,20140817153557,9872,0.999771296977997
"52",2014,20140817115003,9467,0.999762713909149
"53",9237,20140811135741,4306,0.999755680561066
"54",9842,20140811151814,4883,0.999755084514618
"55",780,20140811103821,7163,0.999753177165985
"56",9072,20140811133015,9695,0.999746859073639
"57",7503,20140811160236,18,0.999746739864349
"58",2850,20140811103645,9271,0.999735414981842
"59",9518,20140811162557,4883,0.999734342098236
"60",5671,20140811175121,11308,0.999734342098236
"61",9041,20140811100925,11308,0.999731123447418
"62",4805,20140811195431,181,0.999731004238129
"63",3264,20140811184416,7360,0.999725878238678
"64",2014,20140811145558,9467,0.999721467494965
"65",8367,20140811111727,7310,0.999711930751801
"66",7839,20140811134448,9604,0.999709904193878
"67",7254,20140811190748,10503,0.999708354473114
"68",8593,20140811112204,9604,0.999702751636505
"69",5824,20140811141218,4909,0.999702394008636
"70",8093,20140811190621,4753,0.999680638313293
"71",3188,20140811125612,181,0.999676465988159
"72",512,20140817130519,11825,0.999671697616577
"73",9704,20140811161355,3536,0.999637007713318
"74",8759,20140811143914,9130,0.999634742736816
"75",8087,20140811132957,26,0.9996258020401
"76",4021,20140817183450,6662,0.999622225761414
"77",4410,20140811184101,10831,0.999620199203491
"78",2640,20140811123202,6472,0.999606907367706
"79",6456,20140817165049,7155,0.999598324298859
"80",4715,20140817130639,5099,0.999592363834381
"81",9758,20140817151722,3836,0.999579608440399
"82",1996,20140817171205,9952,0.999575674533844
"83",8915,20140817162156,11449,0.999568283557892
"84",9776,20140817164752,10488,0.999564707279205
"85",3013,20140811151124,7360,0.999548375606537
"86",7296,20140811105714,11512,0.99954754114151
"87",8619,20140817162619,9130,0.99954754114151
"88",9811,20140817145207,11825,0.999539375305176
"89",4242,20140811180011,10382,0.999539256095886
"90",8589,20140817190927,6662,0.999505400657654
"91",859,20140811143448,9922,0.999456703662872
"92",3215,20140817192728,9026,0.99944394826889
"93",455,20140817164932,9147,0.999442040920258
"94",1072,20140817175442,4306,0.999432146549225
"95",4997,20140811101246,9467,0.999424576759338
"96",7069,20140811105237,4966,0.999409675598145
"97",1578,20140811144223,7483,0.999407410621643
"98",1880,20140811131552,734,0.999390006065369
"99",8593,20140817143643,9604,0.999388575553894
"100",2377,20140811163931,4882,0.999365389347076
"101",8917,20140817115637,181,0.999351918697357
"102",9400,20140811102319,4416,0.999339520931244
"103",2460,20140811102353,9280,0.99933522939682
"104",7575,20140811105547,5311,0.999299168586731
"105",5230,20140817124700,9824,0.999298095703125
"106",9293,20140811115053,8972,0.999281823635101
"107",1890,20140811181912,7163,0.999269425868988
"108",579,20140811184008,9524,0.999265015125275
"109",466,20140811122750,9147,0.999264657497406
"110",8457,20140811114112,6133,0.999254405498505
"111",590,20140811185143,7786,0.999245882034302
"112",5360,20140811101019,4337,0.999243855476379
"113",6900,20140811103641,4345,0.999219059944153
"114",5158,20140817111211,6229,0.999179542064667
"115",971,20140811161058,7163,0.999163627624512
"116",6065,20140817140029,3295,0.999162673950195
"117",2162,20140811180245,5152,0.999162554740906
"118",3123,20140817135847,8697,0.999155640602112
"119",3404,20140817110712,1019,0.999151825904846
"120",6282,20140811104815,9900,0.999123275279999
"121",9710,20140811174843,8731,0.999120771884918
"122",9420,20140811190131,9328,0.999070107936859
"123",4097,20140811142152,9194,0.999057114124298
"124",960,20140811140948,4753,0.999030947685242
"125",4308,20140811133133,7587,0.999030590057373
"126",4623,20140817162707,5099,0.999030232429504
"127",4606,20140817152524,8066,0.999011993408203
"128",3244,20140811110247,6566,0.999008893966675
"129",5419,20140817180921,11894,0.999005734920502
"130",8841,20140811133654,181,0.998999774456024
"131",6886,20140817135250,10382,0.998977184295654
"132",550,20140811101405,9280,0.998972654342651
"133",5660,20140817124915,4306,0.998961329460144
"134",164,20140811142521,9900,0.998961210250854
"135",964,20140817133723,9496,0.998895645141602
"136",8238,20140817110638,7356,0.9988893866539
"137",4609,20140811144841,9095,0.998888671398163
"138",7806,20140811191057,10634,0.998877227306366
"139",4332,20140811104245,9280,0.998873054981232
"140",7333,20140811102803,9194,0.99886679649353
"141",7854,20140811131224,6210,0.998819410800934
"142",3156,20140811173917,5210,0.99881786108017
"143",4161,20140817175629,9685,0.998813152313232
"144",5068,20140811171032,3180,0.998804688453674
"145",4621,20140817114352,4306,0.998776853084564
"146",5629,20140811124417,7163,0.998735249042511
"147",9842,20140817150620,4883,0.998729884624481
"148",4822,20140811100155,3180,0.998716235160828
"149",6292,20140811174945,10494,0.998703241348267
