"userid","arrTime","shopid","test_pro"
21,20140811100006,3827,0.182425528764725
6860,20140811100006,3736,0.182425528764725
3453,20140811100020,5003,0.182425528764725
8953,20140811100035,5175,0.182425528764725
9184,20140811100039,9214,0.182425528764725
3864,20140811100058,11764,0.182425528764725
3669,20140811100101,11674,0.182425528764725
8995,20140811100110,9222,0.182425528764725
2475,20140811100111,258,0.182425528764725
9002,20140811100134,10680,0.182425528764725
2525,20140811100141,3883,0.182425528764725
4320,20140811100141,8872,0.182425528764725
621,20140811100150,9,0.182425528764725
4822,20140811100155,3180,0.182425528764725
278,20140811100157,7149,0.182425528764725
2659,20140811100216,1250,0.182425528764725
2719,20140811100217,4437,0.182425528764725
4372,20140811100217,6515,0.182425528764725
6712,20140811100220,3024,0.182425528764725
1237,20140811100221,8996,0.182425528764725
1416,20140811100226,9651,0.182425528764725
7533,20140811100233,549,0.182425528764725
4810,20140811100241,4306,0.182425528764725
7874,20140811100243,11601,0.182425528764725
708,20140811100257,8463,0.182425528764725
6711,20140811100258,5175,0.182425528764725
8565,20140811100300,9270,0.182425528764725
378,20140811100301,9251,0.182425528764725
491,20140811100307,11756,0.182425528764725
2246,20140811100309,1778,0.182425528764725
286,20140811100319,10775,0.182425528764725
5159,20140811100324,4449,0.182425528764725
7999,20140811100324,4631,0.182425528764725
4861,20140811100350,5028,0.182425528764725
7025,20140811100353,6041,0.182425528764725
200,20140811100355,9203,0.182425528764725
4129,20140811100357,1814,0.182425528764725
3429,20140811100403,9328,0.182425528764725
451,20140811100409,9043,0.182425528764725
2092,20140811100410,10922,0.182425528764725
3831,20140811100410,9333,0.182425528764725
3201,20140811100412,9323,0.182425528764725
8576,20140811100414,3736,0.182425528764725
4159,20140811100417,10358,0.182425528764725
9713,20140811100423,11892,0.182425528764725
8415,20140811100425,11010,0.182425528764725
2206,20140811100427,9119,0.182425528764725
5370,20140811100431,10831,0.182425528764725
3819,20140811100454,9069,0.182425528764725
5283,20140811100455,3279,0.182425528764725
7133,20140811100507,6054,0.182425528764725
4616,20140811100510,9222,0.182425528764725
6677,20140811100514,1814,0.182425528764725
3369,20140811100526,5257,0.182425528764725
2278,20140811100539,4883,0.182425528764725
857,20140811100550,8835,0.182425528764725
8216,20140811100608,9596,0.182425528764725
5173,20140811100630,8066,0.182425528764725
8695,20140811100632,9328,0.182425528764725
8761,20140811100640,9435,0.182425528764725
5115,20140811100649,9117,0.182425528764725
1365,20140811100650,9296,0.182425528764725
9913,20140811100655,3736,0.182425528764725
3384,20140811100703,7494,0.182425528764725
5510,20140811100707,3771,0.182425528764725
8398,20140811100717,1739,0.182425528764725
6158,20140811100718,659,0.182425528764725
8934,20140811100723,9165,0.182425528764725
2401,20140811100725,7102,0.182425528764725
7977,20140811100728,9298,0.182425528764725
7908,20140811100729,9051,0.182425528764725
9109,20140811100800,11748,0.182425528764725
9275,20140811100809,9151,0.182425528764725
7497,20140811100815,9151,0.182425528764725
9189,20140811100818,8709,0.182425528764725
1250,20140811100819,6367,0.182425528764725
3234,20140811100821,8998,0.182425528764725
7305,20140811100828,9195,0.182425528764725
377,20140811100833,10843,0.182425528764725
5783,20140811100854,9159,0.182425528764725
2939,20140811100905,5331,0.182425528764725
2313,20140811100919,9156,0.182425528764725
2832,20140811100919,9170,0.182425528764725
7031,20140811100923,7149,0.182425528764725
3573,20140811100924,9222,0.182425528764725
9041,20140811100925,11308,0.182425528764725
7393,20140811100942,10773,0.182425528764725
5826,20140811101007,9279,0.182425528764725
3953,20140811101012,3536,0.182425528764725
7304,20140811101017,3736,0.182425528764725
5360,20140811101019,4337,0.182425528764725
8666,20140811101034,10679,0.182425528764725
4235,20140811101046,5042,0.182425528764725
6968,20140811101049,4862,0.182425528764725
3252,20140811101053,7243,0.182425528764725
1503,20140811101110,5168,0.182425528764725
3792,20140811101112,5417,0.182425528764725
7416,20140811101116,4214,0.182425528764725
8591,20140811101125,11565,0.182425528764725
3912,20140811101130,6472,0.182425528764725
6925,20140811101131,3771,0.182425528764725
9092,20140811101131,5669,0.182425528764725
29,20140811101134,11530,0.182425528764725
4757,20140811101139,11696,0.182425528764725
5514,20140811101147,520,0.182425528764725
4598,20140811101155,9223,0.182425528764725
6930,20140811101203,11849,0.182425528764725
1810,20140811101215,1019,0.182425528764725
3492,20140811101221,1857,0.182425528764725
795,20140811101224,4966,0.182425528764725
2573,20140811101229,4883,0.182425528764725
6135,20140811101231,8506,0.182425528764725
6393,20140811101234,9113,0.182425528764725
8246,20140811101234,6670,0.182425528764725
4997,20140811101246,9467,0.182425528764725
3734,20140811101252,3590,0.182425528764725
1077,20140811101255,6638,0.182425528764725
8691,20140811101255,9058,0.182425528764725
5968,20140811101306,9151,0.182425528764725
7419,20140811101319,9685,0.182425528764725
674,20140811101321,3427,0.182425528764725
5279,20140811101321,4941,0.182425528764725
6851,20140811101324,5870,0.182425528764725
550,20140811101405,9280,0.182425528764725
1906,20140811101406,9170,0.182425528764725
9595,20140811101406,1019,0.182425528764725
3033,20140811101407,8822,0.182425528764725
5513,20140811101421,9328,0.182425528764725
9684,20140811101426,12,0.182425528764725
7720,20140811101427,5015,0.182425528764725
2350,20140811101429,10774,0.182425528764725
1391,20140811101431,3536,0.182425528764725
3707,20140811101435,8506,0.182425528764725
6620,20140811101458,5264,0.182425528764725
6233,20140811101459,10791,0.182425528764725
3152,20140811101509,10774,0.182425528764725
7668,20140811101520,11233,0.182425528764725
6183,20140811101522,9519,0.182425528764725
2642,20140811101537,7275,0.182425528764725
6906,20140811101612,8066,0.182425528764725
4645,20140811101622,10610,0.182425528764725
2437,20140811101624,10494,0.182425528764725
8771,20140811101628,9159,0.182425528764725
590,20140811101642,3527,0.182425528764725
6340,20140811101644,6054,0.182425528764725
3601,20140811101648,1024,0.182425528764725
7827,20140811101705,6274,0.182425528764725
3843,20140811101710,9328,0.182425528764725
8967,20140811101712,3736,0.182425528764725
2870,20140811101713,9119,0.182425528764725
7325,20140811101718,9328,0.182425528764725
2917,20140811101721,5033,0.182425528764725
2614,20140811101735,9695,0.182425528764725
615,20140811101746,11217,0.182425528764725
9198,20140811101749,4883,0.182425528764725
3533,20140811101805,11322,0.182425528764725
2822,20140811101808,4947,0.182425528764725
7134,20140811101810,11756,0.182425528764725
1359,20140811101812,4941,0.182425528764725
6399,20140811101844,3736,0.182425528764725
288,20140811101853,9165,0.182425528764725
8343,20140811101853,5324,0.182425528764725
180,20140811101856,9117,0.182425528764725
4319,20140811101858,11286,0.182425528764725
4674,20140811101917,9170,0.182425528764725
4896,20140811101922,655,0.182425528764725
8364,20140811101923,9203,0.182425528764725
8911,20140811101929,4753,0.182425528764725
7079,20140811101932,4631,0.182425528764725
7009,20140811101939,3737,0.182425528764725
8853,20140811101948,7303,0.182425528764725
5793,20140811101950,7231,0.182425528764725
7619,20140811102005,11849,0.182425528764725
2036,20140811102020,6638,0.182425528764725
5301,20140811102030,1019,0.182425528764725
5304,20140811102030,9599,0.182425528764725
972,20140811102048,10494,0.182425528764725
2386,20140811102048,6140,0.182425528764725
6108,20140811102054,8944,0.182425528764725
7607,20140811102054,9233,0.182425528764725
2823,20140811102055,10680,0.182425528764725
5713,20140811102101,11748,0.182425528764725
6826,20140811102102,9194,0.182425528764725
7616,20140811102107,9043,0.182425528764725
326,20140811102111,3821,0.182425528764725
5975,20140811102117,3427,0.182425528764725
8350,20140811102130,3776,0.182425528764725
855,20140811102132,11050,0.182425528764725
5634,20140811102133,9233,0.182425528764725
5130,20140811102135,4631,0.182425528764725
8155,20140811102140,9328,0.182425528764725
5846,20140811102143,9082,0.182425528764725
1066,20140811102148,11535,0.182425528764725
7193,20140811102155,6274,0.182425528764725
3146,20140811102209,5311,0.182425528764725
7386,20140811102215,9102,0.182425528764725
2535,20140811102216,1019,0.182425528764725
7402,20140811102223,8066,0.182425528764725
1362,20140811102224,9467,0.182425528764725
