"userid","shopid","arrTime"
21,3827,20140811100006
6860,3736,20140811100006
3453,5003,20140811100020
8953,5175,20140811100035
9184,9214,20140811100039
3864,11764,20140811100058
3669,11674,20140811100101
8995,9222,20140811100110
2475,258,20140811100111
9002,10680,20140811100134
2525,3883,20140811100141
4320,8872,20140811100141
621,9,20140811100150
4822,3180,20140811100155
278,7149,20140811100157
2659,1250,20140811100216
2719,4437,20140811100217
4372,6515,20140811100217
6712,3024,20140811100220
1237,8996,20140811100221
1416,9651,20140811100226
7533,549,20140811100233
4810,4306,20140811100241
7874,11601,20140811100243
708,8463,20140811100257
6711,5175,20140811100258
8565,9270,20140811100300
378,9251,20140811100301
491,11756,20140811100307
2246,1778,20140811100309
286,10775,20140811100319
5159,4449,20140811100324
7999,4631,20140811100324
4861,5028,20140811100350
7025,6041,20140811100353
200,9203,20140811100355
4129,1814,20140811100357
3429,9328,20140811100403
451,9043,20140811100409
2092,10922,20140811100410
3831,9333,20140811100410
3201,9323,20140811100412
8576,3736,20140811100414
4159,10358,20140811100417
9713,11892,20140811100423
8415,11010,20140811100425
2206,9119,20140811100427
5370,10831,20140811100431
3819,9069,20140811100454
5283,3279,20140811100455
7133,6054,20140811100507
4616,9222,20140811100510
6677,1814,20140811100514
3369,5257,20140811100526
2278,4883,20140811100539
857,8835,20140811100550
8216,9596,20140811100608
5173,8066,20140811100630
8695,9328,20140811100632
8761,9435,20140811100640
5115,9117,20140811100649
1365,9296,20140811100650
9913,3736,20140811100655
3384,7494,20140811100703
5510,3771,20140811100707
8398,1739,20140811100717
6158,659,20140811100718
8934,9165,20140811100723
2401,7102,20140811100725
7977,9298,20140811100728
7908,9051,20140811100729
9109,11748,20140811100800
9275,9151,20140811100809
7497,9151,20140811100815
9189,8709,20140811100818
1250,6367,20140811100819
3234,8998,20140811100821
7305,9195,20140811100828
377,10843,20140811100833
5783,9159,20140811100854
2939,5331,20140811100905
2313,9156,20140811100919
2832,9170,20140811100919
7031,7149,20140811100923
3573,9222,20140811100924
9041,11308,20140811100925
7393,10773,20140811100942
5826,9279,20140811101007
3953,3536,20140811101012
7304,3736,20140811101017
5360,4337,20140811101019
8666,10679,20140811101034
4235,5042,20140811101046
6968,4862,20140811101049
3252,7243,20140811101053
1503,5168,20140811101110
3792,5417,20140811101112
7416,4214,20140811101116
8591,11565,20140811101125
3912,6472,20140811101130
6925,3771,20140811101131
9092,5669,20140811101131
29,11530,20140811101134
4757,11696,20140811101139
5514,520,20140811101147
4598,9223,20140811101155
6930,11849,20140811101203
1810,1019,20140811101215
3492,1857,20140811101221
795,4966,20140811101224
2573,4883,20140811101229
6135,8506,20140811101231
6393,9113,20140811101234
8246,6670,20140811101234
4997,9467,20140811101246
3734,3590,20140811101252
1077,6638,20140811101255
8691,9058,20140811101255
5968,9151,20140811101306
7419,9685,20140811101319
674,3427,20140811101321
5279,4941,20140811101321
6851,5870,20140811101324
550,9280,20140811101405
1906,9170,20140811101406
9595,1019,20140811101406
3033,8822,20140811101407
5513,9328,20140811101421
9684,12,20140811101426
7720,5015,20140811101427
2350,10774,20140811101429
1391,3536,20140811101431
3707,8506,20140811101435
6620,5264,20140811101458
6233,10791,20140811101459
3152,10774,20140811101509
7668,11233,20140811101520
6183,9519,20140811101522
2642,7275,20140811101537
6906,8066,20140811101612
4645,10610,20140811101622
2437,10494,20140811101624
8771,9159,20140811101628
590,3527,20140811101642
6340,6054,20140811101644
3601,1024,20140811101648
7827,6274,20140811101705
3843,9328,20140811101710
8967,3736,20140811101712
2870,9119,20140811101713
7325,9328,20140811101718
2917,5033,20140811101721
2614,9695,20140811101735
615,11217,20140811101746
9198,4883,20140811101749
3533,11322,20140811101805
2822,4947,20140811101808
7134,11756,20140811101810
1359,4941,20140811101812
6399,3736,20140811101844
288,9165,20140811101853
8343,5324,20140811101853
180,9117,20140811101856
4319,11286,20140811101858
4674,9170,20140811101917
4896,655,20140811101922
8364,9203,20140811101923
8911,4753,20140811101929
7079,4631,20140811101932
7009,3737,20140811101939
8853,7303,20140811101948
5793,7231,20140811101950
7619,11849,20140811102005
2036,6638,20140811102020
5301,1019,20140811102030
5304,9599,20140811102030
972,10494,20140811102048
2386,6140,20140811102048
6108,8944,20140811102054
7607,9233,20140811102054
2823,10680,20140811102055
5713,11748,20140811102101
6826,9194,20140811102102
7616,9043,20140811102107
326,3821,20140811102111
5975,3427,20140811102117
8350,3776,20140811102130
855,11050,20140811102132
5634,9233,20140811102133
5130,4631,20140811102135
8155,9328,20140811102140
5846,9082,20140811102143
1066,11535,20140811102148
7193,6274,20140811102155
3146,5311,20140811102209
7386,9102,20140811102215
2535,1019,20140811102216
7402,8066,20140811102223
1362,9467,20140811102224
9940,5669,20140811102225
6086,12,20140811102229
1,9027,20140811102236
4897,6157,20140811102241
2140,11601,20140811102245
6156,4940,20140811102248
9608,7932,20140811102249
2227,4627,20140811102256
8451,11843,20140811102258
553,9026,20140811102303
1300,7217,20140811102311
423,9730,20140811102314
6430,10358,20140811102318
7808,8066,20140811102318
9821,4684,20140811102318
9400,4416,20140811102319
7253,6670,20140811102325
5687,9147,20140811102348
2460,9280,20140811102353
3017,3736,20140811102400
3046,9113,20140811102414
5204,1668,20140811102424
8011,9225,20140811102424
1349,9849,20140811102438
1515,649,20140811102443
9346,10680,20140811102445
9742,8723,20140811102449
2184,7341,20140811102456
1858,1778,20140811102504
6411,9303,20140811102505
4474,5606,20140811102511
1104,6140,20140811102512
5187,10874,20140811102518
9052,3771,20140811102519
5190,4421,20140811102526
1627,782,20140811102616
6325,11812,20140811102621
7671,4306,20140811102626
9313,9271,20140811102641
7724,12,20140811102648
9479,9299,20140811102648
7632,4909,20140811102709
256,7310,20140811102710
6004,8066,20140811102717
6767,9063,20140811102724
4060,9296,20140811102725
5423,7975,20140811102752
6936,8944,20140811102757
8065,7068,20140811102802
7333,9194,20140811102803
4329,9026,20140811102812
7415,9203,20140811102817
9569,553,20140811102828
7498,258,20140811102837
5234,4947,20140811102840
6422,8066,20140811102852
2999,9090,20140811102914
7967,9006,20140811102915
432,10634,20140811102940
6591,3011,20140811102949
4132,6041,20140811102953
203,549,20140811103003
5129,11764,20140811103013
9458,8709,20140811103019
4748,11931,20140811103036
3613,29,20140811103037
2201,9567,20140811103041
8705,1312,20140811103043
2529,10494,20140811103050
8337,1024,20140811103050
8434,9187,20140811103117
9326,9143,20140811103139
4949,4925,20140811103150
6383,5028,20140811103200
9221,7996,20140811103207
8345,9198,20140811103208
5722,5257,20140811103214
3421,7102,20140811103235
6373,3864,20140811103245
1326,9170,20140811103258
3473,9259,20140811103258
3128,9057,20140811103259
9171,8066,20140811103313
5892,5541,20140811103336
884,9567,20140811103402
5229,10580,20140811103405
6524,9057,20140811103442
8545,9223,20140811103448
4120,9019,20140811103449
6359,9065,20140811103449
3722,9027,20140811103457
6344,3180,20140811103512
3419,7896,20140811103515
6879,4926,20140811103523
5887,1622,20140811103525
2983,10574,20140811103529
4982,6638,20140811103547
9003,9183,20140811103555
3812,1622,20140811103559
1726,4631,20140811103603
8715,4925,20140811103623
2253,5324,20140811103631
5176,5714,20140811103633
4218,3214,20140811103637
5833,7289,20140811103639
6900,4345,20140811103641
1107,7524,20140811103644
2850,9271,20140811103645
3108,9118,20140811103651
8541,4966,20140811103657
168,4966,20140811103708
4719,8066,20140811103712
7059,1669,20140811103713
2259,5264,20140811103729
6856,3842,20140811103733
4191,3058,20140811103740
8458,5015,20140811103746
6559,9151,20140811103757
452,380,20140811103806
780,7244,20140811103821
4834,3534,20140811103821
3600,8944,20140811103825
1514,5669,20140811103845
1459,11535,20140811103848
3391,3736,20140811103852
6371,4437,20140811103852
2479,11764,20140811103858
1239,1019,20140811103901
4012,5028,20140811103911
9142,3725,20140811103919
484,6445,20140811103923
7476,634,20140811103923
5333,26,20140811103939
977,8066,20140811103957
7291,4631,20140811104037
8323,7244,20140811104037
1782,9838,20140811104058
2059,9333,20140811104059
6885,9029,20140811104059
5068,3180,20140811104100
9935,9038,20140811104107
9093,11530,20140811104115
4880,4966,20140811104142
8849,3736,20140811104149
4780,11021,20140811104152
9173,3736,20140811104201
2620,1719,20140811104206
5289,9225,20140811104209
6284,9,20140811104218
5693,4925,20140811104219
189,3405,20140811104234
4332,9280,20140811104245
3194,9604,20140811104250
9157,9104,20140811104252
6554,9063,20140811104254
2990,6157,20140811104258
9316,10634,20140811104258
7129,3744,20140811104313
6154,8986,20140811104320
8787,4883,20140811104328
754,9059,20140811104336
6643,972,20140811104341
3121,11518,20140811104348
8681,9203,20140811104352
1054,9006,20140811104353
2238,5618,20140811104404
6134,6140,20140811104407
2925,3771,20140811104446
9425,4998,20140811104450
1367,8993,20140811104501
7797,9332,20140811104509
7840,258,20140811104510
7820,8010,20140811104528
6579,9151,20140811104531
8264,6523,20140811104545
174,9272,20140811104552
5935,5618,20140811104553
5909,9312,20140811104556
1431,9015,20140811104600
7337,9496,20140811104600
583,9328,20140811104611
6687,9671,20140811104611
6958,11601,20140811104612
2524,4967,20140811104620
9852,3736,20140811104633
7907,3842,20140811104637
1914,9020,20140811104648
6456,6523,20140811104653
395,10843,20140811104712
1182,4966,20140811104712
9907,4884,20140811104721
600,9147,20140811104723
5922,7342,20140811104745
1633,11039,20140811104748
3816,4449,20140811104758
8612,3427,20140811104811
2215,9333,20140811104812
6282,9900,20140811104815
