"userid","arrTime","dbu","dbs","userLabel1","userLabel2","userLabel3","userLabel4","userLabel5","userHis1","userHis2","userHis3","userHis4","userHis5","neiRec1","neiRec2","shopHis1","shopHis2","simbu1","simbu2","simbu3","simbu4","simbu5","neiNum","class","isNotAppear","isSameUser","userDate1","userDate2","userDate3","neiDate1","neiDate2","neiDate3","dateDiff1","dateDiff2","dateDiff3","duraDiff","user_dur","trace_dur","label","shopid"
7449,20140812100124,0.0323253847618199,0.0360405802394981,2,6,0,1,5,0,0,0,0,0,2,0.25,2,1,0,0,0,0,0,8,8,1,0,2,10,1,2,10,1,0,0,0,13,23,36,0,7350
7449,20140812100124,0.0445751197418494,0.0457272583914689,2,6,0,1,5,0,0,0,0,0,1,0.125,0,0,1,4,1,1,1,8,6,1,0,2,10,1,2,10,1,0,0,0,10,23,33,0,4998
7449,20140812100124,0.0434185550772977,0.0459777949123306,2,6,0,1,5,0,0,0,0,0,1,0.125,0,0,0,5,1,1,2,8,1,1,0,2,10,1,2,10,1,0,0,0,11,23,34,0,9290
7449,20140812100124,0.0458105282658891,0.0472885684706157,2,6,0,1,5,0,0,0,0,0,1,0.125,0,0,0,5,1,1,2,8,1,1,0,2,10,1,2,10,1,0,0,0,1,23,24,0,9047
7449,20140812100124,0.045811117646264,0.0539667661436181,2,6,0,1,5,0,0,0,0,0,1,0.125,0,0,0,5,1,1,2,8,1,1,0,2,10,1,2,10,1,0,0,0,0,23,23,0,9140
7449,20140812100124,0.0453068648220094,0.0598921336821498,2,6,0,1,5,0,0,0,0,0,1,0.125,0,0,1,3,0,0,4,8,6,1,0,2,10,1,2,10,1,0,0,0,4,23,19,0,3783
7449,20140812100124,0.0552059530847872,0.0675487796484884,2,6,0,1,5,0,0,0,0,0,1,0.125,1,1,0,0,0,0,0,8,6,1,0,2,10,1,2,10,1,0,0,0,9,23,32,0,3830
968,20140812100138,0.178020746802171,0.0327222757307582,2,1,1,2,7,0,0,0,0,0,1,0.333333333333333,0,0,1,2,1,1,2,3,6,1,0,2,10,1,2,10,1,0,0,0,1,34,33,0,3118
968,20140812100138,0.190177551251447,0.196677165906469,2,1,1,2,7,0,0,0,0,0,1,0.333333333333333,0,0,1,2,1,1,2,3,6,1,0,2,10,1,2,10,1,0,0,0,4,34,30,0,4306
968,20140812100138,0.203353078412891,0.264197499384458,2,1,1,2,7,0,0,0,0,0,1,0.333333333333333,0,0,1,1,0,1,2,3,1,1,0,2,10,1,2,10,1,0,0,0,10,34,24,0,10444
