USERID,SHOPID,ARRIVAL_TIME
8487,9118,20140811150259
8386,2072,20140817125529
2044,3790,20140811191735
4940,9077,20140811174211
6523,9151,20140811132536
1039,8731,20140811125559
8684,11574,20140817112528
6047,3864,20140817112441
9073,11217,20140817133734
2435,9326,20140817154549
6630,9310,20140817162916
182,9273,20140817171203
7338,3789,20140811114531
6351,9669,20140811123932
3212,5034,20140811193742
5303,10387,20140817102339
3573,9222,20140811100924
8842,4937,20140811113920
7913,4393,20140817164402
8353,10503,20140811114843
996,1814,20140811154702
990,11894,20140811175519
8565,524,20140811100300
971,7163,20140811161058
3264,7360,20140817185830
4207,10657,20140817191614
24,3828,20140811155149
9197,10494,20140817143255
6160,9299,20140811182651
4489,5606,20140817104043
1434,3846,20140811125320
2529,7987,20140811103050
9688,7510,20140817142658
6715,10494,20140811144951
1999,10388,20140817100058
1605,10490,20140811145901
8064,,20140811153409
8652,30,20140811122003
8678,9176,20140811113747
1832,8978,20140817122011
8087,26,20140811132957
824,9104,20140811183804
4080,4909,20140811120759
5532,10918,20140817181726
1940,8978,20140811131323
9379,6472,20140811105117
1909,10372,20140817111904
6237,10799,20140817113749
1241,915,20140817172729
4710,1749,20140817170224
1443,4833,20140817155259
7727,3416,20140817162442
4616,9222,20140811100510
4046,9090,20140811145229
3871,9519,20140811163958
2484,8467,20140811175804
8641,1887,20140817185632
8064,3497,20140811112729
1866,4947,20140817130538
790,10510,20140811124732
1980,11011,20140811174642
7343,11640,20140811135456
9675,380,20140811162417
5419,11894,20140811133432
5067,3415,20140811183653
255,1175,20140817194217
3864,6270,20140817190853
5039,3790,20140817101918
4629,3864,20140817112104
3024,7318,20140811154401
821,8697,20140817181116
6949,,20140817114705
3561,11418,20140811131945
9512,6472,20140811154330
7651,664,20140811181640
3712,8860,20140811132934
4167,9922,20140817115014
3734,9900,20140811101252
5600,7967,20140817110405
3583,6581,20140811142632
7672,1942,20140811143607
1633,4607,20140811104748
428,5105,20140811194759
2142,9303,20140811123006
2425,656,20140811145511
3440,3416,20140817135146
4164,1632,20140817194831
5368,10494,20140811134747
6237,5714,20140817173807
5831,3180,20140811153712
7725,1170,20140817100807
7103,3771,20140811165054
7367,1794,20140817145755
7689,8034,20140811114028
745,537,20140811151834
7230,8808,20140811153126
4725,7942,20140811140923
4059,11414,20140817190656
1529,5306,20140817110809
147,4306,20140817193513
6621,7141,20140811144638
5725,10610,20140811174351
7671,,20140811145131
5745,7244,20140817134846
2999,9149,20140811102914
1265,9043,20140811113116
4685,4848,20140817175352
4040,5295,20140817121128
5104,9182,20140817100915
9044,,20140817131717
7085,3323,20140811172014
5360,4337,20140811101019
4995,9060,20140817111036
3533,,20140811153711
2342,9060,20140811175025
9506,4684,20140811145823
1742,5344,20140817114114
6253,9151,20140817150101
9110,4837,20140817155717
4852,1980,20140817121812
1369,9093,20140817153431
3734,,20140811160550
3010,4999,20140811125309
7317,10441,20140811145842
1514,5736,20140817172106
6192,8506,20140811111510
7832,10503,20140811120029
9743,8697,20140811122746
8557,520,20140811141632
7964,9116,20140817104635
3116,1019,20140811104906
7616,9096,20140817181251
7217,7273,20140817132039
2313,9151,20140817180708
2110,9695,20140811154118
9740,10843,20140817140754
197,7273,20140811122418
9201,5175,20140811143655
7126,3836,20140811142036
9811,11825,20140817145207
1412,9151,20140817165117
3101,10494,20140817124632
8678,,20140817110938
2550,9328,20140811154015
526,5823,20140817113421
7208,9695,20140811110831
1880,734,20140811131552
4476,10482,20140817144406
8660,9151,20140817110031
5761,9872,20140817162218
6545,18,20140817175214
2460,9280,20140811102353
6534,9303,20140811172827
6621,7141,20140817111835
6955,9194,20140817124031
7028,4671,20140811110825
6145,10634,20140817170431
7019,9096,20140811140453
9725,9471,20140811114402
4012,18,20140817144949
3953,3536,20140811101012
3975,9151,20140817114308
7828,10831,20140817125625
8900,3536,20140811130539
905,9195,20140817102755
7333,9194,20140811102803
1095,9175,20140817162007
5454,7356,20140811152741
8765,9067,20140811185337
3189,11825,20140817152111
8943,9170,20140811124121
8991,10490,20140811131522
362,,20140817153914
1870,4998,20140811140409
178,9318,20140811140240
7944,26,20140817171105
1900,1910,20140817194233
6143,8886,20140817102451
2965,7310,20140817113742
4566,7418,20140811114711
8437,655,20140817184149
8115,9652,20140817163207
9669,4925,20140811140956
8364,10482,20140817191958
5603,11282,20140811183147
9566,6270,20140817175809
1924,664,20140817131713
2840,10610,20140811133233
8003,9096,20140811110445
5678,3053,20140817143943
9921,9298,20140817143433
7519,9104,20140817102854
2772,8058,20140811143004
9389,9657,20140811164408
9092,5618,20140817103502
1157,11934,20140817101406
2882,10730,20140811162934
9309,3398,20140811115100
3984,11574,20140811115606
9331,9588,20140817174030
5787,5248,20140817165238
2407,5406,20140817105617
5823,1744,20140811142438
8080,9652,20140811113051
4601,5331,20140811110709
5384,8015,20140817171120
4473,5736,20140811173515
733,3846,20140817111941
8839,9121,20140817153216
8865,4671,20140811195648
3916,11846,20140817184254
5262,7155,20140811111758
2237,5486,20140811161800
9777,9845,20140817164524
2560,7276,20140817173417
3900,9900,20140817135755
6432,6515,20140811165132
5474,11308,20140811133222
2227,4671,20140811102256
8182,6570,20140811134137
8753,9027,20140817145026
8631,4340,20140811132714
1167,4449,20140817154349
5231,6133,20140817141627
8216,9596,20140811182149
1390,8842,20140817190325
2766,1881,20140811180926
7199,9151,20140811175523
1988,5175,20140817111322
6005,11889,20140811121354
3427,5764,20140817114432
9221,7350,20140811103207
6225,11640,20140811172517
8576,7273,20140817102230
8057,9270,20140811153950
2547,8709,20140811193109
2648,8066,20140811104844
5938,11289,20140817164755
1067,10610,20140811125716
8511,7310,20140817195031
7416,4214,20140811101116
1795,9260,20140811122230
159,3452,20140811190025
4766,4753,20140817182430
957,5618,20140811152045
5877,9116,20140811111428
8583,11640,20140817125546
2860,8869,20140811124825
3819,,20140817144233
5220,8066,20140817115403
