USERID,SHOPID,ARRIVAL_TIME
6956,,20140817122923
3163,,20140811173939
2244,7942,20140817111706
8565,,20140811100300
6458,,20140811174030
65,,20140811131455
6354,11574,20140811154607
5993,9258,20140811150841
7998,4909,20140817182809
7314,9222,20140817152524
7495,3857,20140811163800
3295,7977,20140811114452
2752,7980,20140817101049
3235,,20140817120101
5787,10515,20140817165238
3764,,20140811161836
5142,,20140817194520
242,7318,20140817134242
1928,4,20140817180700
6499,,20140817144405
4601,5502,20140811110709
1195,1051,20140817122234
3993,11608,20140811155418
553,,20140811102303
4895,9164,20140811153020
9579,5417,20140811165643
2978,,20140811191111
3810,,20140811132054
1604,4345,20140811131450
5021,7510,20140817110445
6438,9124,20140817175435
5678,3028,20140811163640
9082,,20140817173756
301,9143,20140817175607
6275,4631,20140817143817
7596,,20140817152450
9081,,20140811124332
1204,4416,20140817174717
840,,20140811190341
207,,20140811181653
5099,3862,20140811113846
575,,20140817163421
1772,,20140811110818
9708,,20140817150245
8533,6210,20140811132254
6125,,20140811134050
3488,,20140811160321
7118,,20140817132758
7835,,20140817115432
1890,7163,20140811181912
1570,,20140811111315
8304,,20140817102246
451,7329,20140811100409
8498,9194,20140817162744
1644,,20140811163913
6497,8860,20140817154303
7696,4671,20140817181542
2590,,20140811181033
1639,520,20140811170808
9687,3790,20140817164242
6667,2142,20140811182028
5787,10515,20140817195109
5820,8979,20140811131050
5757,,20140817140137
6745,9051,20140811174320
6237,10813,20140811181319
8198,5034,20140817151120
142,,20140817130243
7617,520,20140811145713
7822,4340,20140811105259
1376,8066,20140811194602
725,,20140811153528
9057,5742,20140811124920
7747,9515,20140817180941
4852,,20140817121812
293,7962,20140817114149
2457,,20140811113833
9013,,20140817101430
3404,1019,20140817110712
3671,9200,20140817150837
9927,8993,20140817155823
658,,20140817171639
407,7329,20140811112528
8086,,20140817152544
2332,10657,20140811155206
7649,,20140811112956
7828,5736,20140817114013
5730,,20140811120528
3971,7244,20140811151509
7134,6146,20140811101810
972,8888,20140817181902
5722,5136,20140811103214
3975,4837,20140817114308
1396,5764,20140817153755
1347,6472,20140817173939
1327,,20140811184019
1351,3028,20140817100109
6621,,20140811144638
6712,3028,20140811100220
3711,5742,20140817102930
6904,5920,20140811190225
6035,,20140811161747
6775,7913,20140811125838
6669,938,20140817112207
7386,9060,20140811154616
7290,,20140811134210
8589,6662,20140817172314
7569,,20140817115012
4044,9214,20140811155310
2995,,20140817131026
1940,3846,20140817183415
4677,9225,20140811121541
1726,4631,20140811103603
6422,8872,20140817124713
9311,,20140811192231
3177,4952,20140811150708
3734,9872,20140811175612
8678,9146,20140817110938
8014,438,20140817161607
5021,7510,20140817165055
649,,20140817175433
1653,,20140817104331
4407,4834,20140811135315
2899,,20140817185812
2479,6270,20140811103858
3024,9176,20140811154401
2189,,20140811110558
6775,7913,20140817113425
5709,,20140811110209
4306,,20140817172919
371,,20140817165206
6887,,20140817154013
2471,,20140817174238
4079,9089,20140811165649
6886,,20140817165255
7649,9060,20140811140742
5974,,20140811114142
7126,,20140811142036
4645,,20140817140703
5929,,20140811182330
3691,,20140811114926
6356,,20140817114251
6761,11902,20140817173225
6431,,20140817122957
7726,5257,20140817135403
3796,6400,20140811155357
2253,,20140817162423
6446,,20140817105039
475,10499,20140817120337
8759,9130,20140811143914
6208,10752,20140811182433
8373,8066,20140811180307
9688,6400,20140817142658
9445,11640,20140817135352
6385,,20140811110854
855,,20140811102132
1316,1857,20140817183605
1278,4943,20140817104902
3801,553,20140817183442
9845,7231,20140811142425
2353,,20140811151913
7227,3782,20140811105052
6373,3724,20140811103245
6593,,20140817115636
1184,6472,20140817104955
8503,11759,20140811191013
8699,,20140817143624
4532,1784,20140811123920
4665,,20140817145603
4029,,20140817132854
4605,9524,20140817162938
9469,7921,20140811150153
3954,9058,20140811152417
1471,8860,20140811124316
9724,,20140817111149
3428,,20140817100510
2840,,20140811133233
534,7978,20140811190940
3235,,20140817172219
8449,,20140811164923
8372,9467,20140811174128
702,974,20140817151859
5369,7244,20140811173048
8785,,20140817193104
6926,10680,20140811183456
5507,6566,20140811140630
4778,9824,20140811124232
7276,9060,20140811165646
4474,5606,20140811102511
4547,,20140817130440
5986,11646,20140817161715
5177,9259,20140817141906
1156,7318,20140811125711
1107,,20140811103644
1874,7329,20140811174716
1390,8842,20140817171654
498,10382,20140811190745
2364,9147,20140817160622
1632,11902,20140817132012
617,,20140817163945
8471,,20140817153555
6441,7141,20140817121923
1167,,20140817174602
1033,,20140817185129
4855,3452,20140817143134
5699,5035,20140811155437
2720,181,20140811180814
3987,,20140811113011
1810,8860,20140817100215
4592,553,20140811160210
928,,20140817131637
8824,7969,20140817112828
6112,,20140817194351
4217,,20140811145951
5080,,20140811135316
5822,7978,20140817182138
7488,,20140817171524
4006,181,20140811105518
1641,,20140817142526
571,7918,20140811182823
5438,524,20140817120849
7097,7924,20140811183141
4698,,20140811174315
5304,9467,20140817174945
5872,7984,20140817101853
488,,20140811144400
7030,,20140811114845
628,,20140817182800
1666,9175,20140817164413
5588,,20140817180008
8518,8988,20140811110308
164,9900,20140817122531
4674,4972,20140817133025
2135,11545,20140817135855
278,,20140811100157
955,7155,20140811172347
7262,7163,20140811165608
4662,4631,20140811144726
7569,,20140817132717
5368,4947,20140817122813
2382,7356,20140817121528
6942,,20140811141010
1402,3836,20140817155147
8154,553,20140811181234
1116,,20140811183356
446,7273,20140811163007
8192,,20140817132811
9498,3725,20140817103425
7753,4347,20140817194926
9260,9025,20140817113048
1038,,20140817100205
8593,9604,20140811112204
9683,181,20140817190648
7795,,20140817184545
6484,4340,20140817175406
6461,,20140817102226
9874,5331,20140811192311
660,,20140811135120
8772,648,20140817162510
3080,7786,20140817121603
3808,4631,20140817181415
489,11202,20140817112450
7408,5736,20140811134733
239,,20140817182538
2309,10610,20140817140038
6711,10610,20140811100258
6866,974,20140817154417
8082,,20140817185815
8570,,20140811125200
1049,7980,20140817123942
8943,,20140811124121
2422,,20140817155418
6821,,20140811104955
8720,,20140817180101
4605,9524,20140817151003
4332,9280,20140817180650
5708,4877,20140811131345
6122,,20140811145439
794,7967,20140817143316
5708,4877,20140817180733
7723,,20140817104033
367,10490,20140811193243
9697,,20140817133506
3616,3187,20140817102420
1906,9067,20140817180315
665,9143,20140811114300
7024,,20140811160308
1307,936,20140817184108
6015,520,20140817140827
6794,9175,20140811124733
5570,,20140811131739
1868,,20140811190113
3965,6472,20140811122050
6033,7786,20140811173352
4528,10690,20140811140453
4853,3739,20140817193644
8589,6662,20140817190927
2586,9924,20140817114030
9907,5040,20140817160001
6411,,20140811102505
2675,,20140811115417
9013,,20140817113338
4412,6472,20140811105111
676,8860,20140817151839
7541,3763,20140811115026
8514,4359,20140811175817
6162,,20140811173335
7930,11545,20140817171043
5898,,20140811125639
6456,,20140811104653
333,,20140817172726
4566,10879,20140817171330
7704,,20140811190506
618,4851,20140811193454
8522,7357,20140811161706
6928,,20140811181923
4188,,20140811111324
8765,,20140811173252
7894,,20140811171131
6015,520,20140817135800
4645,,20140817171520
2144,,20140817192301
3075,,20140811160600
2691,,20140811124911
7583,,20140817175455
159,9901,20140811190025
6998,9194,20140817104825
8344,7163,20140817111121
4056,5736,20140811110707
5375,7942,20140811112125
6785,1622,20140817163714
9537,,20140817170138
8035,7287,20140817104907
6926,10680,20140817165225
1957,8860,20140817180732
2412,5517,20140811160350
1027,,20140811114617
4477,4861,20140811121034
8358,3790,20140817145611
8405,9318,20140811120336
293,7962,20140817103548
6855,,20140811163951
4990,3864,20140811190837
2140,6193,20140811102245
2638,3171,20140811130257
5717,11574,20140811161836
3600,8058,20140811103825
4859,8870,20140811110916
621,,20140817121145
4675,3826,20140811120301
91,7984,20140811123702
4566,10879,20140811114711
198,7913,20140811184033
5574,,20140817110447
7175,,20140811165759
3761,,20140817195511
7395,,20140817145806
2552,4925,20140811140144
1324,,20140817110557
1339,9147,20140811145742
1879,,20140811172137
8485,249,20140817132119
372,3405,20140817193308
7144,,20140811192902
9385,,20140811164641
9083,3223,20140817165229
4251,556,20140811183833
8699,9251,20140817170137
9213,,20140811150308
4247,,20140817163756
3310,,20140811195352
6340,6023,20140811101644
4901,2176,20140817100304
4992,7310,20140817114802
9457,,20140817175106
8229,,20140811114010
6925,3771,20140811101131
2201,,20140811103041
3577,4691,20140811183715
7422,,20140811134512
434,9057,20140811141511
9157,3771,20140811104252
3251,9164,20140811163811
6136,782,20140811114200
3803,,20140817193430
9267,648,20140811152123
7057,9119,20140811165952
5209,5039,20140811111911
3564,,20140811105623
4715,5099,20140811131127
5483,,20140817175643
2679,,20140811145526
9039,,20140811113600
1399,3864,20140817145051
918,664,20140817124820
4308,7587,20140811133133
6225,11518,20140811172517
3003,4877,20140811134156
7419,9256,20140817105442
3800,10501,20140817102633
7193,6206,20140811102155
9681,664,20140811182821
4825,,20140811140921
3234,3730,20140811100821
6132,553,20140811114112
5686,,20140817151409
7674,4458,20140811123739
9374,3235,20140811172653
4372,6566,20140811100217
7316,,20140811105953
5638,,20140817143055
1132,3864,20140811115026
7648,1796,20140811195453
8641,9020,20140811114238
5006,3846,20140811193509
2624,7364,20140817163721
7667,9143,20140811175721
9874,5331,20140817152747
5629,7163,20140811124417
6422,8872,20140817165657
737,5175,20140817161420
1018,,20140811113324
6436,,20140817131256
4879,,20140811165307
3480,,20140817170012
1462,,20140817104157
1838,7387,20140811110142
9199,4876,20140811165707
1159,533,20140811121145
1241,889,20140811140057
6122,3763,20140817181947
6724,,20140817105708
9046,10918,20140817110054
1416,,20140811112527
2521,4631,20140811115350
4161,9788,20140817175629
3772,,20140817125428
7654,9267,20140817101949
5333,,20140817144354
2782,,20140811160219
2439,3773,20140811111742
2906,9097,20140811131446
797,,20140811173101
6419,,20140817160732
6701,,20140817102417
568,,20140811144340
6032,5099,20140811142531
2575,,20140817101759
2477,11011,20140811170641
526,11249,20140811121606
1292,,20140817113338
6082,,20140811161144
6077,,20140817181842
7547,3329,20140817120116
1490,10503,20140817174609
3946,,20140811125324
7702,2142,20140811142859
6444,549,20140817194731
9744,8993,20140817143709
9468,,20140811150153
3642,,20140817163835
1077,7261,20140811101255
2272,,20140811150900
1175,9130,20140811120606
3952,7942,20140811144110
4681,7722,20140811110105
3921,9328,20140811111244
7724,12,20140811125942
3834,635,20140817103741
3818,9702,20140811111115
8863,9025,20140811182925
5160,6536,20140811115853
8571,,20140817180249
6572,9866,20140817133628
6495,6270,20140811172811
8216,,20140811182149
2325,,20140817161852
5820,8979,20140817122638
1035,,20140811172507
1724,,20140811110258
2013,,20140811185416
9830,4631,20140817111602
2995,,20140817161408
8090,,20140811120443
2766,1881,20140811180926
9802,8697,20140811175633
8633,7959,20140811151114
2664,10494,20140811181225
1265,,20140817152736
1755,,20140817173931
2266,,20140817130206
4580,649,20140811122513
134,,20140811175923
9840,3838,20140817131314
2085,,20140811115343
8407,4309,20140817151538
6399,9163,20140811101844
5826,,20140811101007
964,9496,20140817125615
3751,9043,20140811184107
8660,,20140817104939
436,9225,20140811163207
982,11039,20140811160518
2862,9042,20140811125228
3933,,20140817130537
9917,9604,20140811163728
1795,5000,20140811122230
2204,9116,20140811123217
5280,5210,20140811115430
7692,5034,20140817190010
5730,7318,20140811140510
6935,9067,20140811193541
3116,8860,20140811104906
9452,9470,20140817111219
6622,,20140817105730
9326,,20140811103139
3011,,20140817114444
4252,978,20140811111541
7854,6210,20140811131224
3614,,20140817121914
4222,9151,20140811105819
9209,,20140817175643
2642,7956,20140811101537
3235,,20140811130100
4433,4940,20140811170402
1362,9467,20140811102224
8826,8066,20140811104830
7998,9267,20140817104156
6643,,20140811104341
9360,,20140817192126
5976,6578,20140811111413
1300,11902,20140817112758
7401,,20140811170021
4164,,20140817194831
8132,,20140817160152
5077,8986,20140817125015
8023,,20140817110752
4346,2213,20140811144307
6978,,20140817192526
7766,5136,20140811164431
2881,9161,20140817171506
4310,6472,20140811131508
1209,3808,20140811160108
2449,4449,20140817182824
3732,1874,20140817172138
9048,4684,20140811143055
4332,9280,20140811122033
6591,3028,20140811102949
3987,5210,20140811150236
2684,7095,20140811172827
9531,,20140811131050
8678,9146,20140811152753
6261,,20140811105732
5472,10759,20140817170648
5455,8842,20140811152030
7833,,20140817113549
233,11336,20140811134357
977,8066,20140811184515
5700,3789,20140811182304
529,9124,20140817120942
3406,4921,20140817103200
4938,,20140817190823
4987,4449,20140811111843
1311,10831,20140811155835
2659,,20140811164843
8035,,20140811171436
769,6193,20140811111836
1212,,20140811164756
9762,,20140811142909
599,9328,20140817111405
918,3781,20140817135401
7402,8066,20140811102223
9770,,20140817101156
8631,10471,20140811132714
2290,,20140817140232
7883,,20140817163851
2272,,20140811160305
8316,,20140811173715
8309,,20140811154636
