NAME,LONGITUDE,LATITUDE,CLASSIFICATION,ID
亿达科技,115.837163,38.434954,8,332
百脑汇电脑,116.104150,38.446188,8,336
戴尔电脑河间戴尔电脑专卖店,116.101900,38.446894,8,337
联想大史专卖店,116.214358,38.411088,8,350
迅雷电脑,116.101693,38.456424,8,352
方圆电脑,116.086752,38.449741,8,353
同方电脑,116.100191,38.451705,8,361
信诚电脑城,116.101807,38.446972,8,363
新天地电脑,116.295438,38.496931,8,364
创想电脑城,116.105484,38.446364,8,365
河间百盛电脑,116.107234,38.440514,8,367
宏达科技,116.098661,38.447155,5,376
雨田科技,116.110400,38.445100,8,377
河间伟东科技,116.109610,38.445199,8,378
腾达电脑城(城垣中路店),116.102589,38.446463,8,338
联创电脑城,116.094147,38.448392,8,342
顺达电脑,116.109920,38.445566,8,343
凯锐电脑城,116.103330,38.446336,8,349
鹏跃电脑,116.107598,38.450539,8,354
马良电脑,116.300797,38.495822,8,356
佳兴电脑,116.334827,38.398088,8,360
阳光科技电脑城,116.102309,38.446506,8,368
聚点电脑连锁超市,116.282326,38.433286,8,369
创想科技,115.836590,38.436522,8,331
亿达科技,115.837163,38.434954,8,332
联想到天创电脑旗舰店,116.110449,38.445502,8,335
华硕电脑,116.109703,38.455449,8,339
惠普电脑,116.301168,38.495441,8,346
方正电脑,116.103265,38.451196,8,348
海尔润眼电脑,116.098289,38.456975,8,355
可为电脑,116.105865,38.455541,8,357
宏远电脑科技,116.165715,38.422255,8,371
微星游戏电脑,116.099092,38.447078,8,373
华方科技,116.103110,38.446371,8,374
佳信电脑城,114.794479,38.708968,8,380
缃慹鐢佃剳,115.498687,38.781769,8,396
博诚科技,115.819080,38.499875,8,333
联想沙河镇专卖店,116.329434,38.398003,8,334
联想行别营专卖店,116.269557,38.396158,8,340
戴尔专卖店金钻店,116.104375,38.446583,8,341
河间市天创电脑,116.110550,38.445488,8,344
鼎好科技,116.103420,38.446329,8,345
宏基电脑,116.111768,38.445297,8,347
顺佳电脑,116.110030,38.445509,8,351
智力电脑,116.100191,38.451705,8,358
人人电脑,116.298879,38.497418,8,359
小兵电脑,115.999968,38.514698,8,362
荣昌电脑城,116.334561,38.397685,8,366
清华同方电脑专卖店(城垣中路店),116.101226,38.447099,8,370
春雨电脑科技,116.109191,38.445269,8,372
掌上天下数码科技,116.101206,38.446696,8,375
戴尔电脑口头镇专卖,114.401683,38.609101,8,379
强宇电脑,114.915508,38.734093,8,381
微讯电脑,115.152335,38.711573,8,382
明华电脑城,115.154181,38.711474,8,383
蓝屋电脑,115.156451,38.714972,8,384
联创电脑店,115.166899,38.712988,8,385
戴尔电脑金钻店,115.164761,38.712565,8,386
联想电脑(九龙家园东),115.158129,38.711699,8,387
戴尔,115.157701,38.711728,8,388
我的电脑,115.151986,38.711538,8,389
军辉电脑,115.158129,38.711699,8,390
飞扬电脑,115.062857,38.735380,8,391
苹果电脑,115.496199,38.770208,8,392
恒信电脑城,115.504742,38.770862,8,393
电脑超市,115.501855,38.770447,8,394
华军电脑,115.496694,38.778767,8,395
网e电脑,115.498687,38.781769,8,396
鼎好电脑城,115.503429,38.770904,8,397
联想专卖店(三顾电脑城),115.498669,38.778942,8,398
鑫科电脑,115.494587,38.778907,8,399
腾讯电脑,115.493872,38.773457,8,400
红发电脑,115.505407,38.778260,8,401
鑫旺电脑,115.502889,38.770876,8,402
天下电脑,115.502497,38.770834,8,403
E联电脑,115.510923,38.775363,8,404
联想,115.503301,38.770560,8,405
明华家电电脑城,115.380287,38.681758,8,406
犇腾电脑,115.381185,38.681828,8,407
联想电脑,115.633209,38.768007,8,408
五洲电脑,115.502759,38.770419,8,409
伟杰电脑城,115.379716,38.682807,8,410
鑫华电脑城,115.423643,38.662877,8,411
博瑞电脑专卖,115.383273,38.681575,8,412
永明电脑科技,115.380862,38.681990,8,413
保定方远电脑学校,115.379896,38.681061,8,414
戴尔电脑,115.784039,38.700366,8,415
向阳电脑城,115.782600,38.685441,8,416
迅达电脑,115.784161,38.699156,8,417
雨辰电脑,115.783341,38.704421,8,418
恒毅科技,115.784429,38.700479,8,419
苹果专卖店,115.787136,38.697684,8,420
德信嘉烨电脑,115.778548,38.695593,8,421
阳光电脑(高阳镇卫生院代庄社区卫生服务站西),115.796657,38.697206,8,422
高阳宏基忠信专卖店,115.782533,38.695685,8,423
长城永毅电脑,115.784228,38.702288,8,424
超越电脑,115.788939,38.696945,8,425
一方电脑,115.779318,38.699662,8,426
光华电脑,115.779076,38.699085,8,427
升辉电脑,115.784557,38.700676,8,428
众点电脑数码,115.796888,38.695234,8,429
安达高清电脑,115.800581,38.695185,8,430
盛大电脑,115.784318,38.701338,8,431
鸿伟电脑,115.796577,38.697206,8,432
双宇电脑,115.778050,38.695650,8,433
润眼电脑,115.892181,38.542742,8,434
现代电脑,115.784367,38.701359,8,435
昭龙电脑,115.784031,38.700169,8,436
高阳县龙飞电脑销售部,115.887131,38.608446,8,437
光宇电脑科技,115.783961,38.700542,8,438
宜晖监控电脑,115.779282,38.699564,8,439
新高点电脑砸花板,115.734655,38.722214,8,440
三维科技,115.784468,38.700261,5,441
祥和电脑桌椅专卖,115.787556,38.692946,8,442
金华研电脑,116.124699,38.707342,8,443
联想戴尔苹果凯特电脑专卖店,116.112276,38.700458,8,444
戴尔电脑金钻店,116.101648,38.694946,8,445
龙华电脑,116.102505,38.692108,8,446
东升电脑耗材总汇,116.123809,38.710679,8,447
华硕电脑(枫林绿洲小区东),116.101821,38.695460,8,448
兴业电脑,116.101894,38.693615,8,449
杨博电脑,116.122795,38.710672,8,450
亮亮电脑科技,116.130706,38.738399,8,451
新世纪电脑,116.121060,38.710616,8,452
创想科技电脑专卖店,116.117736,38.715613,8,453
汇科电脑,116.101648,38.694946,8,454
讯达电脑,116.142937,38.700472,8,455
丹枫电脑,116.133071,38.715831,8,456
东升电脑耗材总汇,116.102183,38.695692,8,457
大众电子元件,116.114296,38.716774,8,458
昆仑电脑城,116.287678,38.770194,8,459
锐利电子品牌电脑专卖,116.116449,38.715634,8,460
暴雪电脑,116.144312,38.718344,8,461
光大电脑,116.131639,38.716274,8,462
怡然电脑,116.119507,38.710587,8,463
燕山电脑耗材,116.122112,38.710644,8,464
微星科技博诚电脑,116.123810,38.710679,8,465
科e电脑,116.101585,38.693960,8,466
河北巨海鑫永翔电脑,116.120755,38.710601,8,467
同创电脑(新华路店),116.123810,38.710679,8,468
睿扬电脑,116.143950,38.718386,8,469
宏达电脑,116.101648,38.694946,8,470
大藏电脑,116.124766,38.707075,8,471
明月心电脑,116.311133,38.722623,8,472
吕公堡科神电脑,116.317835,38.721546,8,473
零点科技电脑工作室,116.133089,38.716260,8,474
任丘市卓越电脑经营部,116.102080,38.694101,8,475
联想北汉专卖店,116.164858,38.627390,8,476
联想石门桥马雷专卖店,116.021601,38.622986,8,477
锐利电子,116.116631,38.715613,5,478
e时代之家,116.102003,38.694045,8,479
宏波电子,116.110047,38.709933,5,480
方正电脑,114.483180,38.825057,8,481
启天电脑城,114.356726,38.828535,8,482
联想(河北省阜平县平阳供销合作社东),114.486245,38.824213,8,483
飞天电脑,114.726522,39.075528,8,484
静宇电脑,114.731670,39.073175,8,485
华扬电脑,114.709104,38.945171,8,486
新主流电脑,114.709742,38.942322,8,487
宏碁电脑(顺平区域核心经销商店),115.139949,38.858766,8,488
联想(顺平电脑专卖店),115.150814,38.856265,8,489
海尔电脑(顺平专卖店),115.141795,38.850519,8,490
百惠电脑城,115.140604,38.852528,8,491
星美科技电脑城,115.153656,38.850786,8,492
汇海电脑,115.142103,38.856546,8,493
顺平诚诺科技店,115.148890,38.843178,8,494
润眼电脑,115.138341,38.855106,8,495
新联电脑,115.140327,38.841990,8,496
华海电脑,115.140091,38.857122,8,497
鑫鑫电脑,115.143183,38.846346,8,498
