USERID,BEGIN_TIME,STARTLONGITUDE,STARTLATITUDE,DURATION
6430,20140812101830,114.746200,39.041150,32
5987,20140814121421,115.482520,38.811700,24
5989,20140821193906,115.394470,38.866970,36
5990,20140813180127,115.320560,38.416110,32
7404,20140812181138,115.775900,38.688683,33
1286,20140813114305,115.351280,38.869130,34
1274,20140813122301,115.454720,38.619450,35
1282,20140812174740,115.468190,38.896760,3
1282,20140817164130,115.472840,38.886402,5
1366,20140814163925,115.353010,38.807010,7
1366,20140821113718,115.353060,38.806946,18
1368,20140814181205,115.560940,38.889240,37
1370,20140813114016,115.443440,38.865097,2
1370,20140816164108,115.443440,38.865097,16
1390,20140817171654,114.995100,38.513100,23
1391,20140812154235,115.775790,38.688595,37
937,20140816120700,115.381850,38.834840,6
943,20140815132837,115.357040,39.010620,33
946,20140814120500,116.093180,38.987774,4
946,20140815141038,116.093180,38.987774,14
946,20140816180031,116.101280,38.971115,2
946,20140819151517,116.093180,38.987774,9
5987,20140812114555,115.466230,38.822670,11
6011,20140813153717,115.320560,38.416110,3
5991,20140823170855,115.916930,38.922840,22
1285,20140822170258,115.638070,39.029280,39
1272,20140817125647,114.181960,38.852570,14
1393,20140813160218,115.775790,38.688595,26
1276,20140811181834,115.490005,38.893246,31
1278,20140814111639,115.454720,38.619450,3
1278,20140817104902,115.490005,38.893250,26
1282,20140821100531,115.458600,38.891510,4
1283,20140811183439,116.014850,39.483166,2
1283,20140813143146,116.014850,39.483166,10
1283,20140823195818,116.014850,39.483166,28
1366,20140815174108,115.353010,38.807010,4
1366,20140816111827,115.353010,38.807010,6
1366,20140817184812,115.353010,38.807010,37
1389,20140817112849,115.439010,39.060800,21
1370,20140824192810,115.448660,38.877914,18
1289,20140824163306,114.682290,39.358810,36
1290,20140816161022,115.461640,38.871040,7
936,20140818113804,114.697914,38.620617,4
937,20140821125047,115.381850,38.834840,31
941,20140818102944,115.500000,38.819168,29
950,20140819111231,116.093180,38.987774,31
951,20140812172753,116.028080,39.428640,2
951,20140814161128,115.994446,39.406666,10
2164,20140811145929,115.974390,38.897060,35
2164,20140814180212,115.965675,38.928513,2
2164,20140820161606,115.974390,38.897060,7
2168,20140815105809,115.485275,38.858055,8
2168,20140816115507,115.494100,38.863650,37
2170,20140823171403,115.295170,38.423300,40
2170,20140824160636,115.313130,38.450100,32
2172,20140818120916,115.492546,38.867870,11
2176,20140820111324,115.916930,38.922840,30
2177,20140821173953,115.964190,39.170300,25
7621,20140821193940,115.316390,38.960000,19
7578,20140813161755,116.033320,39.124860,1
7578,20140815124804,116.033320,39.124860,1
7558,20140812131639,115.777400,38.695800,3
7128,20140812192828,115.786940,38.696945,28
7128,20140813100950,115.775900,38.688683,24
7129,20140820171737,115.449190,38.869780,30
4663,20140819164648,115.551420,39.320100,22
4664,20140817174818,115.565834,38.942500,18
4712,20140817120039,115.916930,38.922840,32
4665,20140819163106,116.093180,38.987774,22
4670,20140823160624,116.036950,39.113420,30
4717,20140817103841,115.483150,38.766610,17
4814,20140811161114,115.809150,39.288470,23
5034,20140820153548,115.502010,38.860996,29
5035,20140815192613,115.556420,38.930958,19
9156,20140822170144,115.467600,39.319350,5
6348,20140814125155,115.489440,38.788055,25
4957,20140812163437,115.443440,38.865097,8
5037,20140816122832,116.037920,39.133220,35
1397,20140819105945,115.462250,38.865200,1
1398,20140814115002,116.009990,39.489360,12
1398,20140815171804,116.007260,39.484150,6
1398,20140817194139,115.970300,39.483475,4
1400,20140812181948,115.638084,38.966244,37
1434,20140812160459,115.326600,38.423500,28
1435,20140814113219,115.644196,39.004790,13
1435,20140817122425,115.650010,39.020294,16
1439,20140815102424,115.426400,39.024700,34
1440,20140812120905,115.452720,38.888570,8
2017,20140812182223,115.486755,38.873230,32
2017,20140813120226,115.463200,38.881800,13
2017,20140819180651,115.486755,38.873230,33
2018,20140814185523,114.700200,39.331860,31
2963,20140816150556,115.990500,39.491600,22
2967,20140812152623,115.625980,39.126880,34
2972,20140815143125,115.412476,39.042576,11
2972,20140816162044,115.412476,39.042576,6
2972,20140820121552,115.412476,39.042576,40
2972,20140823155554,115.371660,39.032360,17
2973,20140818173650,116.107590,38.982056,7
2981,20140814110439,115.955950,39.184000,2
2981,20140815135002,115.532720,38.846070,35
1132,20140813124152,115.468710,38.867870,3
1132,20140820170701,115.461790,38.872110,29
1135,20140811141517,115.462250,38.865200,30
1135,20140815164102,115.547780,38.912030,26
