USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING,SHOPID,ARRIVAL_TIME,USER_LONGITUDE,USER_LATITUDE,DURATION,SHOP_LONGITUDE,SHOP_LATITUDE,CLASSIFICATION
530,1,1,1,2,1,10508,20140813105558,115.83889,38.973286,27,115.853953,38.976796,3
7960,2,1,1,2,7,3864,20140824154833,115.46225,38.8652,38,115.468225,38.865958,6
7960,2,1,1,2,7,3800,20140823190719,115.49653,38.87585,16,115.501473,38.876162,6
7960,2,1,1,2,7,3789,20140823130336,115.46225,38.8652,34,115.489085,38.865558,6
7960,2,1,1,2,7,3864,20140822175420,115.46225,38.8652,38,115.468225,38.865958,6
5554,3,3,0,1,9,3718,20140815193325,115.4941,38.86365,27,115.508873,38.86397,6
5554,3,3,0,1,9,4927,20140824184943,115.49191,38.85547,38,115.50124,38.861575,6
4434,2,1,1,2,7,4921,20140812175909,115.47476,38.874035,27,115.475496,38.879146,6
4434,2,1,1,2,7,4987,20140820191512,115.46,38.8748,38,115.475502,38.883085,6
8650,3,3,0,1,9,3836,20140816114857,115.48721,38.84987,27,115.500701,38.855078,6
9195,2,1,1,2,7,11958,20140824192814,115.96239,39.50523,38,116.028527,39.508346,1
9195,2,1,1,2,7,4543,20140820173304,115.46301,38.891567,16,115.515345,39.354,6
9195,2,1,1,2,7,648,20140818152856,115.37939,38.8152,34,115.453042,38.835161,1
9195,2,1,1,2,7,1706,20140818144457,114.70259,38.58687,38,115.173816,38.711615,6
7281,3,1,0,1,6,9165,20140812103741,115.46295,38.8174,27,115.468659,38.830503,1
7281,3,1,0,1,6,9695,20140820174051,115.54467,38.8053,38,115.569097,38.80717,1
7281,3,1,0,1,6,664,20140818122320,115.45631,38.78398,16,115.474703,38.851994,9
7281,3,1,0,1,6,3171,20140814112537,115.45631,38.78398,34,115.47189,38.789595,6
193,1,2,1,1,5,10490,20140824153458,115.4658,38.85287,38,115.472688,38.857579,1
193,1,2,1,1,5,9215,20140823183257,115.4748,38.860725,16,115.483664,38.860971,1
193,1,2,1,1,5,9225,20140821183632,115.49191,38.85547,34,115.493873,38.857087,1
193,1,2,1,1,5,9086,20140820181418,115.53272,38.84607,38,115.546104,38.856827,1
2202,2,1,1,2,7,10494,20140823174437,115.460785,38.80639,38,115.474694,38.814135,1
2202,2,1,1,2,7,4937,20140818111209,115.467224,38.830555,16,115.475599,38.875853,6
8099,2,2,0,1,5,4947,20140812123839,115.49194,38.837776,27,115.507967,38.852107,6
8099,2,2,0,1,5,7361,20140823153750,115.50079,38.83138,38,115.516357,38.843944,5
8099,2,2,0,1,5,9059,20140823105745,115.50079,38.83138,16,115.511985,38.846964,1
8099,2,2,0,1,5,7996,20140822183211,115.50079,38.83138,34,115.503684,38.837178,8
8178,2,6,0,1,5,4915,20140823171834,115.32745,38.949883,38,115.347533,38.963577,6
8178,2,6,0,1,5,549,20140823153354,115.31755,38.94695,16,115.332913,38.954241,8
8178,2,6,0,1,5,8993,20140822140133,115.32745,38.949883,34,115.329946,38.95638,1
8178,2,6,0,1,5,4915,20140821133406,115.32745,38.949883,38,115.347533,38.963577,6
1319,2,1,1,2,7,6054,20140815174216,115.80385,39.261936,27,115.81054,39.264503,6
1319,2,1,1,2,7,6005,20140822170812,115.54778,38.91203,35,115.726543,39.147818,6
1319,2,1,1,2,7,11449,20140819175211,115.77306,39.23621,28,115.797895,39.252924,1
1319,2,1,1,2,7,6054,20140819121012,115.7836,39.2552,32,115.81054,39.264503,6
1319,2,1,1,2,7,4823,20140818103405,115.75361,39.212055,35,115.783585,39.232847,6
8154,2,6,0,1,5,4919,20140824132933,115.36931,38.87894,35,115.411406,38.880284,6
8154,2,6,0,1,5,9065,20140823123459,115.45272,38.88857,28,115.454078,38.891497,1
8154,2,6,0,1,5,9233,20140823113227,115.46306,38.900833,32,115.468347,38.901669,1
8154,2,6,0,1,5,553,20140822162430,115.29044,38.829575,35,115.4439,38.868556,8
2395,2,1,1,2,7,5204,20140818153328,115.90091,38.87087,25,115.934761,38.910815,6
2395,2,1,1,2,7,9263,20140823103112,115.51992,38.84816,35,115.527603,38.853694,1
2395,2,1,1,2,7,3147,20140821150508,115.02156,38.6122,28,115.165139,38.712361,6
2395,2,1,1,2,7,936,20140821100713,114.98083,38.51585,32,114.997658,38.515912,6
2395,2,1,1,2,7,5208,20140818183416,115.92262,38.897575,35,115.929982,38.897752,6
5364,2,1,1,2,7,4909,20140815163456,115.455765,38.902897,25,115.458294,38.912464,6
5364,2,1,1,2,7,9070,20140824110949,115.49191,38.85547,35,115.497396,38.862896,1
5364,2,1,1,2,7,4904,20140823122506,115.4922,38.85831,28,115.503096,38.868044,6
5364,2,1,1,2,7,3864,20140820191819,115.44405,38.85937,32,115.468225,38.865958,6
5364,2,1,1,2,7,4909,20140820101050,115.455765,38.902897,35,115.458294,38.912464,6
7248,2,1,1,2,7,9176,20140823192220,115.4984,38.86852,35,115.499885,38.86876,1
7248,2,1,1,2,7,5015,20140821182805,115.51111,38.878613,28,115.516608,38.882454,6
7248,2,1,1,2,7,4848,20140821121211,115.46164,38.87104,32,115.474446,38.87369,6
7248,2,1,1,2,7,4883,20140815133703,115.46514,38.88388,35,115.466324,38.884244,6
4269,2,6,0,1,5,4862,20140812110146,115.495834,38.890835,25,115.504452,38.891539,6
4269,2,6,0,1,5,663,20140824143739,115.475555,38.86972,35,115.476321,38.877236,8
4269,2,6,0,1,5,4933,20140823153703,115.47779,38.86261,28,115.487519,38.892192,6
4269,2,6,0,1,5,9170,20140822154228,115.4765,38.856533,32,115.476874,38.862256,1
4269,2,6,0,1,5,9194,20140821163354,115.48349,38.889053,35,115.483595,38.889103,1
7403,3,1,1,2,7,537,20140816115651,115.45636,38.85855,25,115.461309,38.864118,8
7403,3,1,1,2,7,9007,20140823144212,115.44967,38.8642,35,115.467065,38.874828,2
7403,3,1,1,2,7,9312,20140816145519,115.48942,38.862667,28,115.491666,38.864525,1
8974,2,1,1,2,7,9222,20140812144446,115.45417,38.88139,25,115.456438,38.885655,1
8974,2,1,1,2,7,9318,20140818164231,115.46306,38.900833,35,115.470517,38.901627,1
8974,2,1,1,2,7,9277,20140814145336,115.46819,38.89676,32,115.470829,38.900441,1
1866,2,4,0,1,6,7987,20140816161556,115.46086,38.80642,32,115.461354,38.831557,8
1866,2,4,0,1,6,5042,20140816141950,115.46086,38.80642,35,115.460977,38.826047,6
447,3,3,0,1,9,7068,20140821101738,115.98417,39.481945,35,116.009571,39.482704,6
447,3,3,0,1,9,7182,20140818155809,116.00726,39.48415,28,116.030679,39.49593,6
447,3,3,0,1,9,6566,20140814161444,115.99629,39.48297,32,116.004129,39.483185,6
447,3,3,0,1,9,6670,20140814154051,116.02806,39.48231,35,116.029898,39.490633,6
5185,2,2,0,1,5,4965,20140813133211,115.48208,38.89951,25,115.485346,38.901599,6
5185,2,2,0,1,5,4999,20140824114945,115.45691,38.87659,35,115.470001,38.883753,6
5185,2,2,0,1,5,3827,20140822132949,115.44919,38.86978,28,115.456809,38.871267,6
5185,2,2,0,1,5,7310,20140820111921,115.4335,38.8709,32,115.441688,38.887165,8
5185,2,2,0,1,5,4999,20140819120446,115.4448,38.8828,35,115.470001,38.883753,6
4728,1,2,1,1,5,7350,20140815191220,115.50124,38.83781,35,115.50441,38.839798,8
4728,1,2,1,1,5,9271,20140813150748,115.42655,38.92315,28,115.42955,38.931384,1
4728,1,2,1,1,5,9271,20140813122013,115.42655,38.92315,32,115.42955,38.931384,1
385,2,1,1,2,2,11545,20140824141855,116.05463,39.25843,25,116.089818,39.275536,1
4786,2,1,1,2,7,1051,20140824110535,115.3266,38.4235,35,115.339648,38.426806,6
4786,2,1,1,2,7,2131,20140823113810,115.33517,38.42466,28,115.335232,38.427513,6
4786,2,1,1,2,7,8066,20140822105318,115.32056,38.41611,32,115.325939,38.42222,1
4786,2,1,1,2,7,978,20140821112540,115.3266,38.4235,35,115.327492,38.429025,6
1954,2,1,1,2,7,9048,20140823175200,115.36931,38.87894,35,115.497254,38.897836,1
1954,2,1,1,2,7,1104,20140822140159,113.88194,38.8626,28,113.934953,38.884574,6
1954,2,1,1,2,7,9048,20140821100502,115.483055,38.865276,32,115.497254,38.897836,1
1954,2,1,1,2,7,10490,20140820161734,115.4658,38.85287,35,115.472688,38.857579,1
3671,2,1,1,2,7,9200,20140812190701,115.53821,38.8502,25,115.612126,38.890191,1
3671,2,1,1,2,7,11362,20140824162400,115.68495,39.09499,35,115.73138,39.123702,1
3671,2,1,1,2,7,3773,20140824153555,115.531525,38.890724,28,115.536044,38.897773,6
3671,2,1,1,2,7,6005,20140823133534,115.5376,38.856434,32,115.726543,39.147818,6
3671,2,1,1,2,7,5933,20140821151139,115.5376,38.856434,35,115.763953,39.21505,6
4288,3,3,0,1,9,7243,20140812145142,116.01972,39.44569,25,116.023399,39.454024,6
4288,3,3,0,1,9,7130,20140824142624,115.98417,39.481945,35,116.013158,39.482892,6
4288,3,3,0,1,9,7130,20140820132123,115.98417,39.481945,28,116.013158,39.482892,6
4288,3,3,0,1,9,6570,20140819153744,115.98417,39.481945,32,116.007014,39.48251,6
4288,3,3,0,1,9,7068,20140816100415,115.98417,39.481945,35,116.009571,39.482704,6
3985,2,1,1,2,2,9124,20140812150201,115.34813,38.938976,25,115.351477,38.948664,1
3985,2,1,1,2,2,10490,20140824114409,115.4658,38.85287,35,115.472688,38.857579,1
3985,2,1,1,2,2,9277,20140823182649,115.46819,38.89676,28,115.470829,38.900441,1
3985,2,1,1,2,2,9124,20140823113034,115.34813,38.938976,32,115.351477,38.948664,1
3985,2,1,1,2,2,9124,20140822152629,115.34813,38.938976,35,115.351477,38.948664,1
1434,2,6,0,1,5,1019,20140820122648,115.31917,38.42667,35,115.327492,38.428806,6
1434,2,6,0,1,5,2142,20140812160459,115.3266,38.4235,28,115.334851,38.424106,6
1434,2,6,0,1,5,8066,20140812144142,115.317474,38.42148,32,115.325939,38.42222,1
805,3,3,0,1,9,734,20140821133138,115.03639,38.41195,25,115.105426,38.438769,6
4210,3,3,0,1,9,4940,20140822165517,115.47992,38.85668,35,115.484951,38.857333,6
4210,3,3,0,1,9,4940,20140822123302,115.47992,38.85668,28,115.484951,38.857333,6
4210,3,3,0,1,9,4966,20140821184908,115.485275,38.858055,32,115.486941,38.859679,6
4210,3,3,0,1,9,4940,20140821144644,115.47992,38.85668,35,115.484951,38.857333,6
8554,2,1,1,2,7,9020,20140824123446,115.42783,38.85478,35,115.431922,38.872524,1
8554,2,1,1,2,7,9059,20140823161215,115.50722,38.845676,28,115.511985,38.846964,1
8554,2,1,1,2,7,3864,20140822100422,115.42783,38.85478,32,115.468225,38.865958,6
8554,2,1,1,2,7,9020,20140820101521,115.42783,38.85478,35,115.431922,38.872524,1
3801,1,2,1,1,5,553,20140824104446,115.44106,38.84911,35,115.4439,38.868556,8
3801,1,2,1,1,5,7273,20140822191014,115.44405,38.85937,28,115.447519,38.870607,8
3801,1,2,1,1,5,553,20140818100356,115.42783,38.85478,32,115.4439,38.868556,8
2856,2,6,0,1,5,9207,20140812171639,115.549,38.8494,25,115.559252,38.85696,1
2856,2,6,0,1,5,7978,20140822153514,115.549,38.8494,35,115.576077,38.892908,8
2856,2,6,0,1,5,5002,20140821165700,115.56241,38.87634,28,115.571672,38.881857,6
2856,2,6,0,1,5,9330,20140820172214,115.549,38.8494,32,115.574866,38.854811,1
6444,2,1,0,1,5,549,20140812145345,115.32745,38.949883,25,115.332913,38.954241,8
6444,2,1,0,1,5,549,20140823160357,115.32745,38.949883,35,115.332913,38.954241,8
6444,2,1,0,1,5,549,20140822152916,115.32745,38.949883,28,115.332913,38.954241,8
6444,2,1,0,1,5,549,20140822144412,115.32745,38.949883,32,115.332913,38.954241,8
6444,2,1,0,1,5,26,20140821154232,115.54778,38.91203,35,115.573532,38.956745,8
9269,2,1,1,2,7,9118,20140815103401,115.21052,38.701313,25,115.405682,38.826827,1
9269,2,1,1,2,7,3341,20140822113100,115.41201,38.50401,35,115.426132,38.662152,6
9269,2,1,1,2,7,1790,20140821185220,115.21052,38.701313,28,115.257285,38.703309,6
