"userid","shopid","arrTime"
6374,9627,20140811170715
1925,8840,20140811123127
3334,11751,20140811150117
3179,3763,20140811192600
5241,7356,20140811110335
4715,5099,20140811131127
2717,9646,20140811111831
3432,9922,20140817131310
2553,8886,20140817145116
2553,8886,20140817104938
3314,1980,20140811170614
5160,6536,20140811115853
3432,9922,20140817192235
1535,3536,20140811145146
4816,7315,20140811112854
2577,9467,20140811112601
7532,10382,20140811112400
1204,4416,20140817174717
4314,7786,20140817145505
3596,5099,20140817115208
512,11825,20140817164912
3091,8697,20140817143914
8566,8731,20140811163728
9518,4883,20140811144141
1741,9824,20140811124612
1013,10382,20140811120414
1820,181,20140817105950
9223,9271,20140811181333
5419,11894,20140811133432
3533,7483,20140811101805
7477,8715,20140811110326
512,11825,20140817181419
9152,3571,20140811170558
301,9143,20140817175607
164,9900,20140817122531
6673,9553,20140811184116
5974,9872,20140817163003
4061,9147,20140811182950
2587,10495,20140811160749
6156,4940,20140811102248
1925,8840,20140817141415
1951,9175,20140811150943
2981,11308,20140811154003
6849,9333,20140811190844
7930,11545,20140817171043
2237,5486,20140811161800
9917,9604,20140811163728
7930,11545,20140811132048
4061,9147,20140817114810
985,915,20140811120253
5974,9872,20140817153557
2014,9467,20140817115003
9237,4306,20140811135741
9842,4883,20140811151814
780,7163,20140811103821
9072,9695,20140811133015
7503,18,20140811160236
2850,9271,20140811103645
9518,4883,20140811162557
5671,11308,20140811175121
9041,11308,20140811100925
4805,181,20140811195431
3264,7360,20140811184416
2014,9467,20140811145558
8367,7310,20140811111727
7839,9604,20140811134448
7254,10503,20140811190748
8593,9604,20140811112204
5824,4909,20140811141218
8093,4753,20140811190621
3188,181,20140811125612
512,11825,20140817130519
9704,3536,20140811161355
8759,9130,20140811143914
8087,26,20140811132957
4021,6662,20140817183450
4410,10831,20140811184101
2640,6472,20140811123202
6456,7155,20140817165049
4715,5099,20140817130639
9758,3836,20140817151722
1996,9952,20140817171205
8915,11449,20140817162156
9776,10488,20140817164752
3013,7360,20140811151124
7296,11512,20140811105714
8619,9130,20140817162619
9811,11825,20140817145207
4242,10382,20140811180011
8589,6662,20140817190927
859,9922,20140811143448
3215,9026,20140817192728
455,9147,20140817164932
1072,4306,20140817175442
4997,9467,20140811101246
7069,4966,20140811105237
1578,7483,20140811144223
1880,734,20140811131552
8593,9604,20140817143643
2377,4882,20140811163931
8917,181,20140817115637
9400,4416,20140811102319
2460,9280,20140811102353
7575,5311,20140811105547
5230,9824,20140817124700
9293,8972,20140811115053
1890,7163,20140811181912
579,9524,20140811184008
466,9147,20140811122750
8457,6133,20140811114112
590,7786,20140811185143
5360,4337,20140811101019
6900,4345,20140811103641
5158,6229,20140817111211
971,7163,20140811161058
6065,3295,20140817140029
2162,5152,20140811180245
3123,8697,20140817135847
3404,1019,20140817110712
6282,9900,20140811104815
9710,8731,20140811174843
9420,9328,20140811190131
4097,9194,20140811142152
960,4753,20140811140948
4308,7587,20140811133133
4623,5099,20140817162707
4606,8066,20140817152524
